Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Christopher Morel,24,CHC,NL,107,429,388,62,96,17,3,26,70,6,2,36,133,0.247,0.313,0.508,0.821,116,197,7,2,1,2,0
Gabriel Moreno,23,ARI,NL,111,380,341,33,97,19,1,7,50,6,2,29,75,0.284,0.339,0.408,0.747,104,139,17,3,0,7,0
Taylor Motter,33,STL,NL,29,82,76,3,13,3,0,0,2,0,0,5,31,0.171,0.232,0.211,0.442,23,16,0,1,0,0,0
Ryan Mountcastle,26,BAL,AL,115,470,423,64,114,21,1,18,68,3,1,37,107,0.270,0.328,0.452,0.779,117,191,13,3,0,7,1
Mike Moustakas*,34,TOT,MLB,112,386,352,43,87,15,0,12,48,0,0,23,95,0.247,0.293,0.392,0.685,81,138,7,3,0,8,1
Mike Moustakas*,34,COL,NL,47,136,115,21,31,7,0,4,17,0,0,17,34,0.270,0.360,0.435,0.795,105,50,1,1,0,3,1
Mike Moustakas*,34,LAA,AL,65,250,237,22,56,8,0,8,31,0,0,6,61,0.236,0.256,0.371,0.627,68,88,6,2,0,5,0
Cedric Mullins*,28,BAL,AL,116,455,404,51,94,23,3,15,74,19,3,43,101,0.233,0.305,0.416,0.721,101,168,6,1,3,4,1
Max Muncy*,32,LAD,NL,135,579,482,95,102,17,1,36,105,1,2,85,153,0.212,0.333,0.475,0.808,115,229,8,6,0,6,4
Andrés Muñoz,24,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Penn Murfee,29,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Sean Murphy,28,ATL,NL,108,438,370,65,93,21,0,21,68,0,0,49,98,0.251,0.365,0.478,0.844,125,177,18,18,0,1,0
Tom Murphy,32,SEA,AL,47,159,145,19,42,12,0,8,17,0,0,10,44,0.290,0.335,0.538,0.873,142,78,4,1,0,2,0
Dane Myers,27,MIA,NL,22,70,67,9,18,3,0,1,9,1,1,2,19,0.269,0.286,0.358,0.644,74,24,1,0,0,1,0
Wil Myers,32,CIN,NL,37,141,127,11,24,3,0,3,12,2,1,12,48,0.189,0.257,0.283,0.541,46,36,3,0,1,1,0
James Naile,30,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tyler Naquin*,32,CHW,AL,5,8,8,0,0,0,0,0,0,0,0,0,7,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Andrew Nardi*,24,MIA,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Omar Narváez*,31,NYM,NL,49,146,128,12,27,5,0,2,7,0,0,14,27,0.211,0.283,0.297,0.580,61,38,1,0,1,3,0
Bo Naylor*,23,CLE,AL,67,230,198,33,47,13,0,11,32,5,0,30,53,0.237,0.339,0.470,0.809,124,93,2,1,0,1,1
Josh Naylor*,26,CLE,AL,121,495,452,52,139,31,0,17,97,10,3,33,68,0.308,0.354,0.489,0.842,133,221,11,3,0,7,9
Kyle Nelson*,26,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Héctor Neris,34,HOU,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Zach Neto,22,LAA,AL,84,329,289,38,65,17,0,9,34,5,1,20,77,0.225,0.308,0.377,0.685,86,109,5,16,1,3,0
Tyler Nevin,26,DET,AL,41,111,95,11,19,3,1,2,10,0,1,12,25,0.200,0.306,0.316,0.622,72,30,1,3,0,1,0
Kevin Newman,29,CIN,NL,74,253,225,28,57,16,0,3,28,8,1,17,34,0.253,0.311,0.364,0.675,81,82,7,4,2,5,0
Tomás Nido,29,NYM,NL,22,61,56,5,7,0,0,0,1,0,0,2,18,0.125,0.153,0.125,0.278,-22,7,2,0,2,1,0
Brandon Nimmo*,30,NYM,NL,152,682,592,89,162,30,6,24,68,3,3,74,146,0.274,0.363,0.466,0.829,127,276,6,11,1,4,0
Ryan Noda*,27,OAK,AL,128,495,406,63,93,22,1,16,54,3,1,77,170,0.229,0.364,0.406,0.770,121,165,4,10,0,2,1
Austin Nola,33,SDP,NL,52,154,130,9,19,3,0,1,8,0,0,18,31,0.146,0.260,0.192,0.452,30,25,5,2,4,0,0
Lars Nootbaar*,25,STL,NL,117,503,426,74,111,23,1,14,46,11,1,72,99,0.261,0.367,0.418,0.784,115,178,7,1,1,3,2
Ryan O'Hearn*,29,BAL,AL,112,368,346,48,100,22,1,14,60,5,1,15,82,0.289,0.322,0.480,0.801,122,166,2,3,1,3,2
Logan O'Hoppe,23,LAA,AL,51,199,182,23,43,6,0,14,29,0,1,14,48,0.236,0.296,0.500,0.796,111,91,4,2,0,1,0
Brian O'Keefe,29,SEA,AL,8,21,19,0,2,2,0,0,2,0,0,2,7,0.105,0.190,0.211,0.401,14,4,2,0,0,0,0
Tyler O'Neill,28,STL,NL,72,266,238,27,55,14,0,9,21,5,0,28,67,0.231,0.312,0.403,0.715,94,96,5,0,0,0,0
Rougned Odor*,29,SDP,NL,59,157,138,21,28,9,0,4,18,2,1,17,37,0.203,0.299,0.355,0.654,83,49,2,2,0,0,0
Shohei Ohtani*,28,LAA,AL,135,599,497,102,151,26,8,44,95,20,6,91,143,0.304,0.412,0.654,1.066,184,325,9,3,0,3,21
Chris Okey,28,LAA,AL,2,2,2,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Edward Olivares,27,KCR,AL,107,385,354,47,93,23,4,12,36,11,5,22,64,0.263,0.317,0.452,0.769,109,160,7,7,0,2,1
Matt Olson*,29,ATL,NL,162,720,608,127,172,27,3,54,139,1,0,104,167,0.283,0.389,0.604,0.993,162,367,13,4,0,4,8
Jonathan Ornelas,23,TEX,AL,8,8,7,2,1,0,0,0,0,0,0,0,4,0.143,0.250,0.143,0.393,12,1,0,1,0,0,0
Rafael Ortega*,32,NYM,NL,47,136,114,16,25,3,0,1,8,6,1,20,33,0.219,0.341,0.272,0.613,73,31,0,1,1,0,0
Joey Ortiz,24,BAL,AL,15,34,33,4,7,1,0,0,4,0,0,0,9,0.212,0.206,0.242,0.448,26,8,2,0,0,1,0
James Outman*,26,LAD,NL,151,567,483,86,120,16,3,23,70,16,3,68,181,0.248,0.353,0.437,0.790,112,211,4,12,0,4,1
Chris Owings,31,PIT,NL,10,25,25,0,4,0,0,0,0,0,0,0,12,0.160,0.160,0.160,0.320,-12,4,1,0,0,0,0
Marcell Ozuna,32,ATL,NL,144,592,530,84,145,29,1,40,100,0,0,57,134,0.274,0.346,0.558,0.905,138,296,9,3,0,2,1
Cristian Pache,24,PHI,NL,48,95,84,12,20,7,1,2,11,2,3,10,27,0.238,0.319,0.417,0.736,100,35,1,0,1,0,0
Kevin Padlo,26,LAA,AL,3,8,8,1,1,1,0,0,0,0,0,0,0,0.125,0.125,0.250,0.375,-2,2,1,0,0,0,0
Emilio Pagán*,32,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Joshua Palacios*,27,PIT,NL,91,264,247,26,59,9,2,10,40,5,0,12,56,0.239,0.279,0.413,0.692,86,102,7,2,2,1,0
Richie Palacios*,26,STL,NL,32,102,93,9,24,6,0,6,16,2,0,6,11,0.258,0.307,0.516,0.823,120,48,1,1,1,1,0
Isaac Paredes,24,TBR,AL,143,571,492,71,123,24,0,31,98,1,0,58,104,0.250,0.352,0.488,0.840,131,240,11,20,0,1,0
Kyren Paris,21,LAA,AL,15,46,40,4,4,0,0,0,1,3,0,4,17,0.100,0.200,0.100,0.300,-14,4,0,1,1,0,0
Vinnie Pasquantino*,25,KCR,AL,61,260,231,24,57,17,0,9,26,0,0,25,31,0.247,0.324,0.437,0.762,108,101,7,2,0,1,2
Joc Pederson*,31,SFG,NL,121,425,358,59,84,14,3,15,51,0,0,57,89,0.235,0.348,0.416,0.764,111,149,12,7,0,3,6
Liover Peguero,22,PIT,NL,59,213,198,21,47,4,1,7,26,6,2,11,67,0.237,0.280,0.374,0.653,77,74,6,1,2,1,0
Jeremy Peña,25,HOU,AL,150,634,577,81,152,32,3,10,52,13,9,43,129,0.263,0.324,0.381,0.705,95,220,11,9,1,1,1
David Peralta*,35,LAD,NL,133,422,394,47,102,25,1,7,55,4,1,20,72,0.259,0.294,0.381,0.675,81,150,8,2,0,6,1
Oswald Peraza,23,NYY,AL,52,191,173,15,33,8,0,2,14,4,3,13,50,0.191,0.267,0.272,0.539,49,47,1,5,0,0,0
Geraldo Perdomo#,23,ARI,NL,144,495,407,71,100,20,4,6,47,16,4,64,86,0.246,0.353,0.359,0.712,96,146,2,6,14,4,1
Everson Pereira,22,NYY,AL,27,103,93,6,14,4,0,0,10,4,0,8,40,0.151,0.233,0.194,0.427,20,18,1,2,0,0,0
Carlos Pérez,32,OAK,AL,66,189,168,17,38,4,0,6,20,0,0,13,40,0.226,0.293,0.357,0.650,85,60,4,4,1,3,0
Carlos Pérez,26,CHW,AL,27,53,49,5,10,4,0,1,3,0,0,4,11,0.204,0.264,0.347,0.611,65,17,2,0,0,0,0
Cionel Pérez,27,BAL,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Michael Pérez*,30,NYM,NL,3,8,8,1,4,1,0,0,0,0,0,0,1,0.500,0.500,0.625,1.125,209,5,0,0,0,0,0
Roberto Pérez,34,SFG,NL,5,17,15,0,2,0,0,0,1,0,0,2,6,0.133,0.235,0.133,0.369,7,2,0,0,0,0,0
Salvador Pérez,33,KCR,AL,140,580,538,59,137,21,0,23,80,0,0,19,135,0.255,0.292,0.422,0.714,94,227,11,13,0,8,6
Blake Perkins#,26,MIL,NL,67,168,143,28,31,7,0,4,20,5,2,23,46,0.217,0.325,0.350,0.675,86,50,3,0,2,0,0
Jace Peterson*,33,TOT,MLB,133,430,374,35,79,10,4,6,37,15,2,47,101,0.211,0.304,0.307,0.611,75,115,7,4,2,3,2
Jace Peterson*,33,OAK,AL,92,324,281,30,62,7,2,6,28,11,1,36,77,0.221,0.313,0.324,0.637,84,91,6,3,1,3,1
Jace Peterson*,33,ARI,NL,41,106,93,5,17,3,2,0,9,4,1,11,24,0.183,0.276,0.258,0.534,48,24,1,1,1,0,1
Tommy Pham,35,TOT,NL,129,481,426,55,109,27,3,16,68,22,3,47,106,0.256,0.328,0.446,0.774,111,190,11,2,0,6,1
Tommy Pham,35,NYM,NL,79,264,231,29,62,15,1,10,36,11,1,29,56,0.268,0.348,0.472,0.820,124,109,2,1,0,3,1
Tommy Pham,35,ARI,NL,50,217,195,26,47,12,2,6,32,11,2,18,50,0.241,0.304,0.415,0.720,95,81,9,1,0,3,0
Brett Phillips*,29,LAA,AL,39,71,63,9,11,1,0,3,6,3,1,8,36,0.175,0.268,0.333,0.601,63,21,0,0,0,0,0
Kevin Pillar,34,ATL,NL,81,206,197,29,45,10,0,9,32,4,1,6,50,0.228,0.248,0.416,0.664,74,82,2,0,0,3,0
Manny Piña,36,OAK,AL,4,12,12,1,3,0,0,1,1,0,0,0,3,0.250,0.250,0.500,0.750,108,6,1,0,0,0,0
René Pinto,26,TBR,AL,38,105,103,10,26,3,0,6,16,0,0,2,34,0.252,0.267,0.456,0.723,97,47,2,0,0,0,0
Nick Pivetta,30,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Jorge Polanco#,29,MIN,AL,80,343,302,38,77,18,0,14,48,4,0,36,88,0.255,0.335,0.454,0.789,115,137,2,2,0,3,0
AJ Pollock,35,TOT,MLB,54,144,133,15,22,4,0,5,15,0,1,9,32,0.165,0.215,0.308,0.524,46,41,1,0,0,2,0
AJ Pollock,35,SEA,AL,49,138,127,15,22,4,0,5,15,0,1,9,30,0.173,0.225,0.323,0.547,53,41,1,0,0,2,0
AJ Pollock,35,SFG,NL,5,6,6,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Logan Porter,27,KCR,AL,11,38,31,4,6,1,0,1,3,0,0,5,11,0.194,0.324,0.323,0.647,80,10,2,1,1,0,0
Nick Pratto*,24,KCR,AL,95,345,306,33,71,16,0,7,35,1,1,29,138,0.232,0.307,0.353,0.660,82,108,3,6,0,4,0
Ryan Pressly,34,HOU,AL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Jurickson Profar#,30,TOT,NL,125,521,459,55,111,27,2,9,46,1,0,50,90,0.242,0.321,0.368,0.689,80,169,11,6,0,5,0
Jurickson Profar#,30,COL,NL,111,472,415,51,98,25,2,8,39,1,0,45,86,0.236,0.316,0.364,0.680,76,151,9,6,0,5,0
Jurickson Profar#,30,SDP,NL,14,49,44,4,13,2,0,1,7,0,0,5,4,0.295,0.367,0.409,0.776,117,18,2,0,0,0,0
Juniel Querecuto#,30,STL,NL,9,21,20,2,2,1,0,0,0,0,0,1,6,0.100,0.143,0.150,0.293,-19,3,0,0,0,0,0
Ceddanne Rafaela,22,BOS,AL,28,89,83,11,20,6,0,2,5,3,1,4,28,0.241,0.281,0.386,0.666,78,32,2,1,0,1,0
Cole Ragans*,25,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Cole Ragans*,25,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Cal Raleigh#,26,SEA,AL,145,569,513,78,119,23,1,30,75,0,0,54,158,0.232,0.306,0.456,0.762,112,234,6,1,0,1,1
Brooks Raley*,35,NYM,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Luke Raley*,28,TBR,AL,118,406,357,56,89,23,3,19,49,14,3,28,128,0.249,0.333,0.490,0.824,126,175,2,18,1,2,0
Harold Ramírez,28,TBR,AL,122,434,400,58,125,19,2,12,68,5,3,22,79,0.313,0.353,0.460,0.813,125,184,7,6,0,6,0
José Ramírez#,30,CLE,AL,156,691,611,87,172,36,5,24,80,28,6,73,73,0.282,0.356,0.475,0.831,131,290,8,1,0,6,22
Heliot Ramos,23,SFG,NL,25,60,56,5,10,4,0,1,2,0,0,4,20,0.179,0.233,0.304,0.537,48,17,1,0,0,0,0
Henry Ramos#,31,CIN,NL,23,86,74,9,18,3,1,0,5,2,1,11,21,0.243,0.349,0.311,0.660,80,23,2,1,0,0,0
J.T. Realmuto,32,PHI,NL,135,540,489,70,123,28,5,20,63,16,5,35,138,0.252,0.310,0.452,0.762,106,221,10,9,0,5,3
Rob Refsnyder,32,BOS,AL,89,243,202,31,50,9,1,1,28,7,2,33,47,0.248,0.365,0.317,0.682,87,64,8,5,1,1,0
Zach Remillard,29,CHW,AL,54,160,147,16,37,7,0,1,18,4,3,8,48,0.252,0.295,0.320,0.615,69,47,3,1,4,0,1
Anthony Rendon,33,LAA,AL,43,183,148,23,35,6,0,2,22,2,0,25,27,0.236,0.361,0.318,0.678,88,47,6,6,0,4,0
Hunter Renfroe,31,TOT,MLB,140,548,498,60,116,31,0,20,60,0,0,44,125,0.233,0.297,0.416,0.713,91,207,15,3,0,3,0
Hunter Renfroe,31,LAA,AL,126,504,459,56,111,31,0,19,56,0,0,39,113,0.242,0.304,0.434,0.737,98,199,15,3,0,3,0
Hunter Renfroe,31,CIN,NL,14,44,39,4,5,0,0,1,4,0,0,5,12,0.128,0.227,0.205,0.432,18,8,0,0,0,0,0
Luis Rengifo#,26,LAA,AL,126,445,394,55,104,15,4,16,51,6,4,41,82,0.264,0.339,0.444,0.783,111,175,3,6,0,4,0
Franmil Reyes,27,KCR,AL,19,65,59,5,11,0,0,2,7,0,0,4,24,0.186,0.231,0.288,0.519,42,17,3,0,0,2,0
Pablo Reyes,29,BOS,AL,64,185,167,27,48,9,0,2,20,7,2,14,21,0.287,0.339,0.377,0.716,94,63,3,0,2,2,0
Bryan Reynolds#,28,PIT,NL,145,640,574,85,151,31,5,24,84,12,1,53,138,0.263,0.330,0.460,0.790,113,264,13,7,0,6,2
Matt Reynolds,32,CIN,NL,2,5,5,1,1,0,0,0,0,0,0,0,3,0.200,0.200,0.200,0.400,9,1,0,0,0,0,0
Austin Riley,26,ATL,NL,159,715,636,117,179,32,3,37,97,3,1,59,172,0.281,0.345,0.516,0.861,128,328,18,9,0,11,4
Edwin Ríos*,29,CHC,NL,18,34,28,3,2,1,0,1,2,0,0,5,16,0.071,0.235,0.214,0.450,23,6,0,1,0,0,0
Alfonso Rivas*,26,TOT,NL,48,123,109,8,25,10,1,3,15,1,0,9,36,0.229,0.303,0.422,0.725,97,46,1,3,1,1,0
Alfonso Rivas*,26,SDP,NL,8,17,15,2,3,2,0,0,1,0,0,2,7,0.200,0.294,0.333,0.627,76,5,0,0,0,0,0
Alfonso Rivas*,26,PIT,NL,40,106,94,6,22,8,1,3,14,1,0,7,29,0.234,0.305,0.436,0.741,100,41,1,3,1,1,0
Emmanuel Rivera,27,ARI,NL,86,283,257,32,67,13,0,4,29,1,0,22,56,0.261,0.314,0.358,0.672,84,92,9,0,0,4,0
Anthony Rizzo*,33,NYY,AL,99,421,373,45,91,14,0,12,41,0,3,35,97,0.244,0.328,0.378,0.706,94,141,10,12,0,1,1
Luis Robert Jr.,25,CHW,AL,145,595,546,90,144,36,1,38,80,20,4,30,172,0.264,0.315,0.542,0.857,128,296,10,12,0,2,5
Víctor Robles,26,WSN,NL,36,126,107,15,32,5,1,0,8,8,1,11,18,0.299,0.385,0.364,0.750,110,39,3,4,4,0,0
Brayan Rocchio#,22,CLE,AL,23,86,81,9,20,6,0,0,8,0,0,4,27,0.247,0.279,0.321,0.600,68,26,4,0,0,1,0
Brendan Rodgers,26,COL,NL,46,192,178,21,46,9,1,4,20,0,0,11,41,0.258,0.313,0.388,0.700,80,69,6,3,0,0,0
Endy Rodríguez#,23,PIT,NL,57,204,186,27,41,7,2,3,13,0,0,17,49,0.220,0.284,0.328,0.612,67,61,3,0,0,1,0
José Rodriguez,22,CHW,AL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Julio Rodríguez,22,SEA,AL,155,714,654,102,180,37,2,32,103,37,10,47,175,0.275,0.333,0.485,0.818,128,317,14,11,0,2,6
Jake Rogers,28,DET,AL,107,365,331,47,73,11,0,21,49,1,1,28,118,0.221,0.286,0.444,0.730,96,147,6,3,1,2,0
Taylor Rogers*,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tyler Rogers,32,SFG,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Johan Rojas,22,PHI,NL,59,164,149,24,45,9,2,2,23,14,1,5,42,0.302,0.342,0.430,0.771,111,64,1,4,6,0,0
Josh Rojas*,29,TOT,MLB,105,350,314,47,77,17,0,4,40,12,0,27,81,0.245,0.303,0.338,0.641,78,106,3,1,2,4,0
Josh Rojas*,29,ARI,NL,59,216,189,23,43,13,0,0,26,6,0,18,51,0.228,0.292,0.296,0.589,62,56,2,1,2,4,0
Josh Rojas*,29,SEA,AL,46,134,125,24,34,4,0,4,14,6,0,9,30,0.272,0.321,0.400,0.721,103,50,1,0,0,0,0
Miguel Rojas,34,LAD,NL,124,423,385,49,91,16,1,5,31,8,3,26,48,0.236,0.290,0.322,0.612,66,124,12,5,2,5,0
Jordan Romano,30,TOR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
JoJo Romero*,26,STL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Brent Rooker,28,OAK,AL,137,526,463,61,114,20,1,30,69,4,0,49,172,0.246,0.329,0.488,0.817,130,226,11,10,0,4,1
Ben Rortvedt*,25,NYY,AL,32,79,68,6,8,1,0,2,4,0,0,11,19,0.118,0.241,0.221,0.461,28,15,1,0,0,0,0
Amed Rosario,27,TOT,MLB,142,545,510,70,134,25,8,6,58,15,2,29,99,0.263,0.305,0.378,0.683,89,193,15,3,0,3,0
Amed Rosario,27,CLE,AL,94,412,385,51,102,19,6,3,40,9,0,22,77,0.265,0.306,0.369,0.675,88,142,11,2,0,3,0
Amed Rosario,27,LAD,NL,48,133,125,19,32,6,2,3,18,6,2,7,22,0.256,0.301,0.408,0.709,89,51,4,1,0,0,0
Eddie Rosario*,31,ATL,NL,142,516,478,64,122,24,3,21,74,3,4,34,122,0.255,0.305,0.450,0.755,100,215,13,1,1,2,1
Eguy Rosario,23,SDP,NL,11,37,36,6,9,1,1,2,6,0,0,1,12,0.250,0.270,0.500,0.770,109,18,1,0,0,0,0
Michael Rucker,29,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Darin Ruf,36,TOT,NL,20,57,49,3,11,3,0,0,3,0,0,8,16,0.224,0.333,0.286,0.619,74,14,0,0,0,0,0
Darin Ruf,36,SFG,NL,9,27,23,1,6,2,0,0,3,0,0,4,9,0.261,0.370,0.348,0.718,102,8,0,0,0,0,0
Darin Ruf,36,MIL,NL,11,30,26,2,5,1,0,0,0,0,0,4,7,0.192,0.300,0.231,0.531,49,6,0,0,0,0,0
Esteury Ruiz,24,OAK,AL,132,497,449,47,114,24,1,5,47,67,13,20,99,0.254,0.309,0.345,0.654,88,155,7,16,4,1,1
José Ruiz,28,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
José Ruiz,28,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Keibert Ruiz#,24,WSN,NL,136,562,523,55,136,24,0,18,67,1,1,31,58,0.260,0.308,0.409,0.717,97,214,13,6,0,2,1
Blake Rutherford*,26,WSN,NL,16,36,35,4,6,0,0,0,2,0,0,1,10,0.171,0.194,0.171,0.366,3,6,1,0,0,0,0
Adley Rutschman#,25,BAL,AL,154,687,588,84,163,31,1,20,80,1,2,92,101,0.277,0.374,0.435,0.809,128,256,14,2,0,5,6
Blake Sabol*,25,SFG,NL,110,344,310,36,73,10,0,13,44,4,2,24,117,0.235,0.301,0.394,0.695,91,122,4,6,2,2,0
César Salazar*,27,HOU,AL,13,19,18,1,2,0,0,0,0,0,0,1,6,0.111,0.158,0.111,0.269,-23,2,1,0,0,0,0
Gary Sánchez,30,TOT,NL,75,267,240,33,52,9,0,19,47,0,0,21,67,0.217,0.288,0.492,0.780,113,118,3,4,0,2,0
Gary Sánchez,30,NYM,NL,3,7,6,0,1,0,0,0,1,0,0,0,3,0.167,0.143,0.167,0.310,-15,1,0,0,0,1,0
Gary Sánchez,30,SDP,NL,72,260,234,33,51,9,0,19,46,0,0,21,64,0.218,0.292,0.500,0.792,116,117,3,4,0,1,0
Jesús Sánchez*,25,MIA,NL,125,402,360,43,91,23,3,14,52,3,1,38,107,0.253,0.327,0.450,0.777,108,162,12,2,1,1,1
Cole Sands,25,MIN,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Carlos Santana#,37,TOT,NL,146,619,550,78,132,33,1,23,86,6,0,65,104,0.240,0.318,0.429,0.747,103,236,11,0,0,4,0
Carlos Santana#,37,PIT,NL,94,393,345,45,81,25,0,12,53,6,0,45,69,0.235,0.321,0.412,0.732,99,142,3,0,0,3,0
Carlos Santana#,37,MIL,NL,52,226,205,33,51,8,1,11,33,0,0,20,35,0.249,0.314,0.459,0.773,109,94,8,0,0,1,0
Anthony Santander#,28,BAL,AL,153,656,591,81,152,41,1,28,95,5,1,55,152,0.257,0.325,0.472,0.797,121,279,11,6,0,4,1
Tony Santillan,26,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tayler Saucedo*,30,SEA,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Josh Sborz,29,TEX,AL,1,1,1,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Nolan Schanuel*,21,LAA,AL,29,132,109,19,30,3,0,1,6,0,0,20,19,0.275,0.402,0.330,0.732,103,36,1,3,0,0,1
Casey Schmitt,24,SFG,NL,90,277,253,28,52,15,0,5,30,2,1,13,65,0.206,0.255,0.324,0.580,60,82,7,5,3,3,0
Davis Schneider,24,TOR,AL,35,141,116,23,32,12,1,8,20,1,0,21,43,0.276,0.404,0.603,1.008,175,70,2,4,0,0,0
Jonathan Schoop,31,DET,AL,55,151,136,15,29,8,0,0,7,0,0,13,37,0.213,0.278,0.272,0.550,53,37,6,0,0,2,0
John Schreiber,29,BOS,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Kyle Schwarber*,30,PHI,NL,160,720,585,108,115,19,1,47,104,0,2,126,215,0.197,0.343,0.474,0.817,122,277,4,6,0,3,5
Tayler Scott,31,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tayler Scott,31,TOT,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tayler Scott,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tayler Scott,31,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Corey Seager*,29,TEX,AL,119,536,477,88,156,42,0,33,96,2,1,49,88,0.327,0.390,0.623,1.013,170,297,9,4,0,6,9
Chandler Seagle,27,SDP,NL,1,1,1,0,0,0,0,0,0,0,0,0,0,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Jean Segura,33,MIA,NL,85,326,301,25,66,5,2,3,21,6,2,22,47,0.219,0.277,0.279,0.556,52,84,12,2,1,0,1
