Name,Age,Tm,Lg,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB
Marcus Semien,32,TEX,AL,162,753,670,122,185,40,4,29,100,14,3,72,110,0.276,0.348,0.478,0.826,122,320,5,5,0,5,1
Nick Senzel,28,CIN,NL,104,330,301,49,71,10,0,13,42,6,2,26,74,0.236,0.297,0.399,0.696,85,120,9,1,0,2,0
Brian Serven,28,COL,NL,11,23,23,0,3,1,0,0,1,0,0,0,10,0.130,0.130,0.174,0.304,-22,4,0,0,0,0,0
Paul Sewald,33,TOT,MLB,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Paul Sewald,33,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Paul Sewald,33,ARI,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Gavin Sheets*,27,CHW,AL,118,344,311,24,63,10,0,10,43,1,0,28,66,0.203,0.267,0.331,0.599,63,103,6,1,0,4,2
Braden Shewmake*,25,ATL,NL,2,4,4,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Zack Short,28,DET,AL,110,253,221,17,45,9,0,7,33,5,0,28,66,0.204,0.292,0.339,0.631,73,75,3,0,3,1,0
Michael Siani*,23,TOT,NL,8,6,5,1,0,0,0,0,0,1,1,1,1,0.000,0.167,0.000,0.167,-48,0,0,0,0,0,0
Michael Siani*,23,CIN,NL,3,1,0,1,0,0,0,0,0,0,1,1,0,,1.000,,,,0,0,0,0,0,0
Michael Siani*,23,STL,NL,5,5,5,0,0,0,0,0,0,1,0,0,1,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Lucas Sims,29,CIN,NL,3,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Jon Singleton*,31,TOT,MLB,36,105,91,11,15,3,0,2,12,0,0,13,23,0.165,0.267,0.264,0.530,48,24,2,0,0,1,0
Jon Singleton*,31,MIL,NL,11,32,29,3,3,1,0,0,2,0,0,3,11,0.103,0.188,0.138,0.325,-8,4,0,0,0,0,0
Jon Singleton*,31,HOU,AL,25,73,62,8,12,2,0,2,10,0,0,10,12,0.194,0.301,0.323,0.624,73,20,2,0,0,1,0
José Siri,27,TBR,AL,101,364,338,58,75,13,2,25,56,12,3,20,130,0.222,0.267,0.494,0.761,106,167,5,2,1,3,0
Austin Slater,30,SFG,NL,89,207,185,24,50,9,0,5,20,2,2,20,58,0.270,0.348,0.400,0.748,107,74,2,2,0,0,0
Dominic Smith*,28,WSN,NL,153,586,527,57,134,21,1,12,46,1,1,47,91,0.254,0.326,0.366,0.692,92,193,12,10,0,2,1
Josh H. Smith*,25,TEX,AL,90,232,195,29,36,8,1,6,15,1,0,25,55,0.185,0.304,0.328,0.633,73,64,3,9,2,1,0
Kevin Smith,26,OAK,AL,49,146,135,15,25,4,0,5,11,1,0,5,51,0.185,0.220,0.326,0.546,54,44,3,1,5,0,0
Pavin Smith*,27,ARI,NL,69,228,191,26,36,5,0,7,30,1,1,35,45,0.188,0.317,0.325,0.642,77,62,3,1,0,0,0
Will Smith,33,TEX,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Will Smith,28,LAD,NL,126,554,464,80,121,21,2,19,76,3,0,63,89,0.261,0.359,0.438,0.797,114,203,8,15,0,12,2
Canaan Smith-Njigba*,24,PIT,NL,15,37,32,3,4,1,1,0,5,1,0,4,16,0.125,0.216,0.219,0.435,20,7,1,0,0,1,0
Drew Smyly*,34,CHC,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Tyler Soderstrom*,21,OAK,AL,45,138,125,9,20,1,0,3,7,0,0,11,43,0.160,0.232,0.240,0.472,36,30,6,1,0,1,0
Nick Solak,28,TOT,MLB,2,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Nick Solak,28,ATL,NL,1,0,0,1,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Nick Solak,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Donovan Solano,35,MIN,AL,134,450,394,43,111,26,1,5,38,0,0,40,100,0.282,0.369,0.391,0.760,110,154,8,15,0,1,1
Jorge Soler,31,MIA,NL,137,580,504,77,126,24,0,36,75,1,0,66,141,0.250,0.341,0.512,0.853,128,258,20,6,0,4,4
Edmundo Sosa,27,PHI,NL,104,300,279,34,70,15,2,10,30,4,2,8,74,0.251,0.293,0.427,0.719,95,119,10,9,2,1,0
Lenyn Sosa,23,CHW,AL,52,173,164,12,33,6,0,6,14,0,1,5,40,0.201,0.224,0.348,0.571,53,57,3,0,3,1,1
Juan Soto*,24,SDP,NL,162,708,568,97,156,32,1,35,109,12,5,132,129,0.275,0.410,0.519,0.930,158,295,18,2,1,5,11
Livan Soto*,23,LAA,AL,4,12,9,2,2,0,0,0,0,0,0,3,2,0.222,0.417,0.222,0.639,82,2,0,0,0,0,0
Carson Spiers,25,CIN,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
George Springer,33,TOR,AL,154,683,613,87,158,25,1,21,72,20,5,60,125,0.258,0.327,0.405,0.732,102,248,20,5,0,3,1
Jacob Stallings,33,MIA,NL,88,276,241,22,46,14,0,3,20,0,0,27,67,0.191,0.278,0.286,0.565,54,69,9,3,3,2,0
Ryne Stanek,31,HOU,AL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Giancarlo Stanton,33,NYY,AL,101,415,371,43,71,13,0,24,60,0,0,41,124,0.191,0.275,0.420,0.695,87,156,11,2,0,1,3
Spencer Steer,25,CIN,NL,156,665,582,74,158,37,3,23,86,15,3,68,139,0.271,0.356,0.464,0.820,119,270,9,11,0,4,0
Michael Stefanic,27,LAA,AL,25,71,62,5,18,2,1,0,6,0,1,8,8,0.290,0.380,0.355,0.735,103,22,0,1,0,0,0
Tyler Stephenson,26,CIN,NL,142,517,465,59,113,20,2,13,56,0,1,47,135,0.243,0.317,0.378,0.696,87,176,16,4,0,1,2
Andrew Stevenson*,29,MIN,AL,25,40,37,4,7,1,0,0,1,4,1,2,8,0.189,0.250,0.216,0.466,31,8,0,1,0,0,0
Cal Stevenson*,26,SFG,NL,6,12,9,1,0,0,0,0,0,0,0,3,2,0.000,0.250,0.000,0.250,-21,0,0,0,0,0,0
DJ Stewart*,29,NYM,NL,58,185,160,21,39,9,0,11,26,1,1,15,56,0.244,0.333,0.506,0.840,128,81,3,7,1,1,0
Trevor Story,30,BOS,AL,43,168,158,12,32,9,0,3,14,10,3,9,55,0.203,0.250,0.316,0.566,52,50,2,1,0,0,0
Bryson Stott*,25,PHI,NL,151,640,585,78,164,32,2,15,62,31,3,39,100,0.280,0.329,0.419,0.747,104,245,10,7,1,8,1
Kyle Stowers*,25,BAL,AL,14,33,30,1,2,0,0,0,0,0,0,3,12,0.067,0.152,0.067,0.218,-35,2,1,0,0,0,0
Myles Straw,28,CLE,AL,147,518,462,52,110,18,3,1,29,20,6,42,97,0.238,0.301,0.297,0.597,69,137,10,2,6,6,0
Garrett Stubbs*,30,PHI,NL,41,125,113,15,23,4,1,1,12,2,0,9,29,0.204,0.274,0.283,0.557,54,32,0,2,1,0,0
Eugenio Suárez,31,SEA,AL,162,694,598,68,139,29,0,22,96,2,1,70,214,0.232,0.323,0.391,0.714,101,234,10,15,0,11,0
Brett Sullivan*,29,SDP,NL,33,86,81,7,17,3,0,1,6,0,0,4,19,0.210,0.244,0.284,0.528,48,23,1,0,0,1,0
Brent Suter*,33,COL,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Jack Suwinski*,24,PIT,NL,144,534,447,63,100,21,2,26,74,13,2,75,172,0.224,0.339,0.454,0.793,115,203,2,6,0,6,2
Seiya Suzuki,28,CHC,NL,138,583,515,75,147,31,6,20,74,6,7,59,130,0.285,0.357,0.485,0.842,124,250,8,2,0,7,3
Dansby Swanson,29,CHC,NL,147,638,565,81,138,25,3,22,80,9,1,66,154,0.244,0.328,0.416,0.744,99,235,9,5,0,2,0
Domingo Tapia,31,SDP,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Raimel Tapia*,29,TOT,MLB,64,169,148,28,35,4,1,3,13,10,2,17,40,0.236,0.317,0.338,0.655,79,50,2,1,1,1,0
Raimel Tapia*,29,TOT,AL,44,108,96,18,26,4,1,1,10,8,1,11,20,0.271,0.346,0.365,0.710,93,35,1,0,0,0,0
Raimel Tapia*,29,BOS,AL,39,97,87,14,23,4,1,1,10,6,1,9,19,0.264,0.333,0.368,0.701,90,32,1,0,0,0,0
Raimel Tapia*,29,MIL,NL,20,61,52,10,9,0,0,2,3,2,1,6,20,0.173,0.267,0.288,0.555,53,15,1,1,1,1,0
Raimel Tapia*,29,TBR,AL,5,11,9,4,3,0,0,0,0,2,0,2,1,0.333,0.455,0.333,0.788,126,3,0,0,0,0,0
Fernando Tatis Jr.,24,SDP,NL,141,635,575,91,148,33,1,25,78,29,4,53,141,0.257,0.322,0.449,0.770,113,258,17,3,1,3,0
Mike Tauchman*,32,CHC,NL,108,401,337,64,85,18,0,8,48,7,1,56,86,0.252,0.363,0.377,0.739,100,127,3,4,1,3,1
Leody Taveras#,24,TEX,AL,143,554,511,67,136,31,3,14,67,14,4,35,117,0.266,0.312,0.421,0.733,97,215,3,1,3,4,0
Chris Taylor,32,LAD,NL,117,384,338,51,80,15,1,15,56,16,3,41,125,0.237,0.326,0.420,0.746,100,142,2,4,0,1,2
Michael A. Taylor,32,MIN,AL,129,388,355,48,78,14,1,21,51,13,1,26,130,0.220,0.278,0.442,0.720,94,157,7,3,3,1,0
Samad Taylor,24,KCR,AL,31,69,60,11,12,2,1,0,4,8,0,7,22,0.200,0.279,0.267,0.546,52,16,1,0,1,1,0
Tyrone Taylor,29,MIL,NL,81,243,231,36,54,17,1,10,35,9,0,8,55,0.234,0.267,0.446,0.713,91,103,10,3,0,1,0
Rowdy Tellez*,28,MIL,NL,105,351,311,26,67,9,1,13,47,0,0,35,86,0.215,0.291,0.376,0.667,82,117,11,0,0,5,2
José Tena*,22,CLE,AL,18,34,31,2,7,2,0,0,3,0,0,3,13,0.226,0.294,0.290,0.584,65,9,0,0,0,0,0
Matt Thaiss*,28,LAA,AL,95,307,262,32,56,6,0,9,31,2,0,36,83,0.214,0.319,0.340,0.659,80,89,4,6,0,3,1
Alek Thomas*,23,ARI,NL,125,402,374,51,86,17,5,9,39,9,1,19,86,0.230,0.273,0.374,0.647,75,140,5,4,2,3,1
Cody Thomas*,28,OAK,AL,19,46,42,1,10,3,0,1,2,0,0,4,17,0.238,0.304,0.381,0.685,95,16,1,0,0,0,0
Lane Thomas,27,WSN,NL,156,682,628,101,168,36,3,28,86,20,5,36,176,0.268,0.315,0.468,0.783,114,294,5,11,0,7,0
Bubba Thompson,25,TEX,AL,37,60,53,10,9,4,1,0,4,4,2,4,16,0.170,0.237,0.283,0.520,41,15,0,1,1,1,0
Trayce Thompson,32,TOT,MLB,72,179,153,17,25,2,0,6,17,2,0,24,77,0.163,0.285,0.294,0.579,58,45,1,2,0,0,0
Trayce Thompson,32,LAD,NL,36,87,71,12,11,0,0,5,14,0,0,15,37,0.155,0.310,0.366,0.677,82,26,0,1,0,0,0
Trayce Thompson,32,CHW,AL,36,92,82,5,14,2,0,1,3,2,0,9,40,0.171,0.261,0.232,0.493,37,19,1,1,0,0,0
Michael Toglia#,24,COL,NL,45,152,141,18,23,5,0,4,9,1,1,10,50,0.163,0.224,0.284,0.507,30,40,3,1,0,0,0
Justin Topa,32,SEA,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Spencer Torkelson,23,DET,AL,159,684,606,88,141,34,1,31,94,3,0,67,171,0.233,0.313,0.446,0.758,105,270,15,6,0,5,1
Abraham Toro#,26,MIL,NL,9,21,18,4,8,0,0,2,9,0,0,2,5,0.444,0.524,0.778,1.302,252,14,0,1,0,0,0
Luis Torrens,27,TOT,MLB,18,30,28,1,7,3,0,0,4,0,0,1,9,0.250,0.300,0.357,0.657,79,10,0,1,0,0,0
Luis Torrens,27,CHC,NL,13,22,20,1,5,1,0,0,3,0,0,1,8,0.250,0.318,0.300,0.618,68,6,0,1,0,0,0
Luis Torrens,27,SEA,AL,5,8,8,0,2,2,0,0,1,0,0,0,1,0.250,0.250,0.500,0.750,105,4,0,0,0,0,0
Gleyber Torres,26,NYY,AL,158,672,596,90,163,28,2,25,68,13,6,67,98,0.273,0.347,0.453,0.800,118,270,19,3,0,6,0
Ezequiel Tovar,21,COL,NL,153,615,581,79,147,37,4,15,73,11,5,25,166,0.253,0.287,0.408,0.695,77,237,10,4,2,3,0
Taylor Trammell*,25,SEA,AL,22,56,46,7,6,0,0,3,11,0,1,9,22,0.130,0.286,0.326,0.612,73,15,2,1,0,0,0
Alan Trejo,27,COL,NL,82,227,207,24,48,11,0,4,26,5,1,16,51,0.232,0.288,0.343,0.631,63,71,3,1,1,2,0
Jose Trevino,30,NYY,AL,55,168,157,15,33,4,0,4,15,0,0,8,22,0.210,0.257,0.312,0.570,56,49,6,2,1,0,0
Jared Triolo,25,PIT,NL,54,209,181,30,54,9,0,3,21,6,1,24,63,0.298,0.388,0.398,0.785,116,72,0,3,0,1,0
Chadwick Tromp,28,ATL,NL,6,16,16,1,2,1,0,0,1,0,0,0,7,0.125,0.125,0.188,0.313,-17,3,0,0,0,0,0
Mike Trout,31,LAA,AL,82,362,308,54,81,14,1,18,44,2,0,45,104,0.263,0.367,0.490,0.858,131,151,4,7,0,2,2
Cole Tucker#,26,COL,NL,5,10,8,2,4,0,0,0,2,0,0,1,2,0.500,0.600,0.500,1.100,190,4,0,1,0,0,0
Kyle Tucker*,26,HOU,AL,157,674,574,97,163,37,5,29,112,30,5,80,92,0.284,0.369,0.517,0.886,142,297,11,3,0,10,9
Brice Turang*,23,MIL,NL,137,448,404,46,88,9,3,6,34,26,4,38,94,0.218,0.285,0.300,0.585,62,121,9,1,3,2,1
Justin Turner,38,BOS,AL,146,626,558,86,154,31,0,23,96,4,1,51,110,0.276,0.345,0.455,0.800,114,254,10,11,0,6,0
Trea Turner,30,PHI,NL,155,691,639,102,170,35,5,26,76,30,0,45,150,0.266,0.320,0.459,0.778,111,293,12,6,0,1,2
Luis Urías,26,TOT,MLB,52,177,144,18,28,6,0,3,18,0,0,21,41,0.194,0.337,0.299,0.636,76,43,4,10,0,0,0
Luis Urías,26,MIL,NL,20,68,55,5,8,2,0,1,5,0,0,7,15,0.145,0.299,0.236,0.535,50,13,1,5,0,0,0
Luis Urías,26,BOS,AL,32,109,89,13,20,4,0,2,13,0,0,14,26,0.225,0.361,0.337,0.698,91,30,3,5,0,0,0
Ramón Urías,29,BAL,AL,116,396,360,45,95,22,3,4,42,3,1,27,101,0.264,0.328,0.375,0.703,98,135,10,8,0,1,0
Gio Urshela,31,LAA,AL,62,228,214,22,64,8,1,2,24,3,2,10,36,0.299,0.329,0.374,0.703,91,80,9,1,0,3,0
Enmanuel Valdez*,24,BOS,AL,49,149,139,17,37,8,0,6,19,5,1,8,37,0.266,0.311,0.453,0.764,103,63,4,1,0,0,0
Ildemaro Vargas#,31,WSN,NL,86,286,262,32,66,13,2,4,31,1,1,19,20,0.252,0.304,0.363,0.666,84,95,10,1,3,1,0
Miguel Vargas,23,LAD,NL,81,304,256,36,50,15,4,7,32,3,2,38,61,0.195,0.305,0.367,0.672,81,94,1,4,1,4,1
Daulton Varsho*,26,TOR,AL,158,581,527,65,116,23,3,20,61,16,7,45,135,0.220,0.285,0.389,0.674,85,205,5,4,1,3,0
Andrew Vaughn,25,CHW,AL,152,615,566,67,146,30,2,21,80,0,0,36,129,0.258,0.314,0.429,0.743,101,243,15,11,0,2,0
Terrin Vavra*,26,BAL,AL,27,56,49,9,12,0,0,0,5,1,0,5,12,0.245,0.315,0.245,0.560,62,12,5,0,2,0,0
Christian Vázquez,32,MIN,AL,102,355,327,34,73,13,0,6,32,1,0,25,82,0.223,0.280,0.318,0.598,65,104,11,1,1,1,1
Andrew Velazquez,28,LAA,AL,54,94,81,12,14,3,0,2,3,13,3,10,30,0.173,0.264,0.284,0.548,50,23,1,0,3,0,0
Nelson Velázquez,24,TOT,MLB,53,179,162,35,38,6,0,17,34,0,0,14,51,0.235,0.302,0.586,0.888,136,95,3,2,0,1,0
Nelson Velázquez,24,CHC,NL,13,32,29,8,7,2,0,3,6,0,0,3,8,0.241,0.313,0.621,0.933,143,18,1,0,0,0,0
Nelson Velázquez,24,KCR,AL,40,147,133,27,31,4,0,14,28,0,0,11,43,0.233,0.299,0.579,0.878,134,77,2,2,0,1,0
Alex Verdugo*,27,BOS,AL,142,602,546,81,144,37,5,13,54,5,3,45,93,0.264,0.324,0.421,0.745,100,230,11,6,0,5,1
Alex Vesia*,27,LAD,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Will Vest,28,DET,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Mark Vientos,23,NYM,NL,65,233,218,19,46,5,1,9,22,1,0,10,71,0.211,0.253,0.367,0.620,69,80,5,3,0,2,0
Matt Vierling,26,DET,AL,134,530,479,63,125,21,5,10,44,6,6,44,112,0.261,0.329,0.388,0.717,96,186,8,5,1,1,1
David Villar,26,SFG,NL,46,140,124,15,18,6,0,5,12,1,1,11,45,0.145,0.236,0.315,0.550,51,39,1,4,0,1,0
Meibrys Viloria*,26,CLE,AL,10,4,3,0,0,0,0,0,0,0,0,1,0,0.000,0.250,0.000,0.250,-20,0,1,0,0,0,0
Daniel Vogelbach*,30,NYM,NL,104,319,275,33,64,8,0,13,48,0,0,42,81,0.233,0.339,0.404,0.742,104,111,6,2,0,0,1
Luke Voit,32,MIL,NL,22,74,68,5,15,3,0,0,4,2,0,4,27,0.221,0.284,0.265,0.548,53,18,3,2,0,0,0
Anthony Volpe,22,NYY,AL,159,601,541,62,113,23,4,21,60,24,5,52,167,0.209,0.283,0.383,0.666,81,207,10,5,1,2,0
Jason Vosler*,29,CIN,NL,20,65,62,6,10,2,1,3,10,0,0,3,25,0.161,0.200,0.371,0.571,49,23,0,0,0,0,0
Joey Votto*,39,CIN,NL,65,242,208,26,42,6,0,14,38,0,0,27,62,0.202,0.314,0.433,0.747,99,90,2,7,0,0,0
LaMonte Wade Jr.*,29,SFG,NL,135,519,429,64,110,14,2,17,45,2,0,76,95,0.256,0.373,0.417,0.790,119,179,4,6,4,4,3
Tyler Wade*,28,OAK,AL,26,55,51,8,13,1,1,0,2,4,0,4,13,0.255,0.309,0.314,0.623,80,16,0,0,0,0,0
Adam Wainwright,41,STL,NL,2,2,2,0,0,0,0,0,0,0,0,0,1,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Christian Walker,32,ARI,NL,157,661,582,86,150,36,2,33,103,11,0,62,127,0.258,0.333,0.497,0.830,123,289,13,8,0,8,3
Jordan Walker,21,STL,NL,117,465,420,51,116,19,2,16,51,7,4,37,104,0.276,0.342,0.445,0.787,114,187,9,6,0,2,0
Forrest Wall*,27,ATL,NL,15,15,13,6,6,2,0,1,2,5,1,2,4,0.462,0.533,0.846,1.379,264,11,0,0,0,0,0
Chad Wallach,31,LAA,AL,65,172,157,18,31,5,1,7,15,0,1,13,57,0.197,0.259,0.376,0.635,70,59,5,0,2,0,0
Matt Wallner*,25,MIN,AL,76,254,213,42,53,11,1,14,41,2,1,28,80,0.249,0.370,0.507,0.877,139,108,1,13,0,0,1
Taylor Walls#,26,TBR,AL,99,349,303,50,61,12,2,8,36,22,1,44,92,0.201,0.305,0.333,0.638,79,101,1,1,1,0,0
Jared Walsh*,29,LAA,AL,39,116,104,10,13,4,0,4,11,0,0,11,45,0.125,0.216,0.279,0.494,33,29,1,1,0,0,0
Taylor Ward,29,LAA,AL,97,409,356,60,90,18,0,14,47,4,2,39,80,0.253,0.335,0.421,0.756,105,150,9,8,0,6,0
Drew Waters#,24,KCR,AL,98,337,302,40,69,11,5,8,32,16,5,27,107,0.228,0.300,0.377,0.677,85,114,4,5,0,3,0
Austin Wells*,23,NYY,AL,19,75,70,8,16,6,0,4,13,0,0,3,14,0.229,0.257,0.486,0.742,97,34,3,0,0,1,0
Joey Wendle*,33,MIA,NL,112,318,297,33,63,16,3,2,20,7,1,13,67,0.212,0.248,0.306,0.554,50,91,8,2,3,3,0
Hayden Wesneski,25,CHC,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Jordan Westburg,24,BAL,AL,68,228,208,26,54,17,2,3,23,4,1,16,56,0.260,0.311,0.404,0.715,100,84,3,1,0,3,0
Eli White,29,ATL,NL,6,17,14,1,1,0,0,0,0,0,0,2,7,0.071,0.235,0.071,0.307,-11,1,0,1,0,0,0
Garrett Whitlock,27,BOS,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Joey Wiemer,24,MIL,NL,132,410,367,48,75,19,0,13,42,11,4,36,116,0.204,0.283,0.362,0.645,76,133,4,5,0,2,0
Alika Williams,24,PIT,NL,46,112,101,7,20,5,0,0,6,0,0,9,35,0.198,0.270,0.248,0.518,44,25,2,1,1,0,0
Luke Williams,26,TOT,NL,11,19,19,1,1,0,0,0,0,4,0,0,7,0.053,0.053,0.053,0.105,-71,1,0,0,0,0,0
Luke Williams,26,LAD,NL,4,10,10,0,1,0,0,0,0,1,0,0,3,0.100,0.100,0.100,0.200,-46,1,0,0,0,0,0
Luke Williams,26,ATL,NL,7,9,9,1,0,0,0,0,0,3,0,0,4,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Weston Wilson,28,PHI,NL,8,22,16,5,5,0,0,1,2,3,1,6,5,0.313,0.500,0.500,1.000,177,8,0,0,0,0,0
Jesse Winker*,29,MIL,NL,61,197,166,16,33,5,0,1,23,0,0,26,51,0.199,0.320,0.247,0.567,60,41,0,4,0,1,0
Masyn Winn,21,STL,NL,37,137,122,8,21,2,0,2,12,2,1,10,26,0.172,0.230,0.238,0.467,29,29,1,0,2,3,0
Patrick Wisdom,31,CHC,NL,97,302,268,43,55,8,1,23,46,4,2,30,111,0.205,0.289,0.500,0.789,107,134,4,2,1,1,0
Brett Wisely*,24,SFG,NL,51,131,120,10,21,5,0,2,8,2,1,9,40,0.175,0.231,0.267,0.497,38,32,2,0,1,1,0
Bobby Witt Jr.,23,KCR,AL,158,694,641,97,177,28,11,30,96,49,15,40,121,0.276,0.319,0.495,0.813,120,317,11,4,1,8,1
Nick Wittgren,32,KCR,AL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Connor Wong,27,BOS,AL,126,403,371,55,87,25,2,9,36,8,2,22,134,0.235,0.288,0.385,0.673,80,143,4,6,3,1,0
Kolten Wong*,32,TOT,MLB,87,250,224,25,41,6,0,4,27,3,2,18,53,0.183,0.256,0.263,0.519,47,59,1,5,0,3,0
Kolten Wong*,32,SEA,AL,67,216,194,21,32,6,0,2,19,1,1,16,46,0.165,0.241,0.227,0.468,34,44,0,4,0,2,0
Kolten Wong*,32,LAD,NL,20,34,30,4,9,0,0,2,8,2,1,2,7,0.300,0.353,0.500,0.853,127,15,1,1,0,1,0
Austin Wynns,32,TOT,NL,51,145,130,11,27,6,0,1,10,1,0,9,39,0.208,0.268,0.277,0.545,42,36,4,2,3,1,0
Austin Wynns,32,SFG,NL,1,2,2,0,0,0,0,0,0,0,0,0,2,0.000,0.000,0.000,0.000,-100,0,0,0,0,0,0
Austin Wynns,32,LAD,NL,5,12,11,0,2,1,0,0,2,0,0,1,5,0.182,0.250,0.273,0.523,42,3,0,0,0,0,0
Austin Wynns,32,COL,NL,45,131,117,11,25,5,0,1,8,1,0,8,32,0.214,0.273,0.282,0.555,45,33,4,2,3,1,0
Ryan Yarbrough,31,TOT,MLB,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Ryan Yarbrough,31,LAD,NL,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Mike Yastrzemski*,32,SFG,NL,106,381,330,54,77,23,1,15,43,2,2,45,99,0.233,0.330,0.445,0.775,113,147,5,3,2,1,3
Christian Yelich*,31,MIL,NL,144,632,550,106,153,34,1,19,76,28,3,78,140,0.278,0.370,0.447,0.818,124,246,15,3,0,1,7
Juan Yepez,25,STL,NL,28,65,60,5,11,1,0,2,2,0,1,4,20,0.183,0.246,0.300,0.546,49,18,0,1,0,0,0
Masataka Yoshida*,29,BOS,AL,140,580,537,71,155,33,3,15,72,8,0,34,81,0.289,0.338,0.445,0.783,109,239,20,7,0,2,0
Alex Young*,29,CIN,NL,2,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,0,0,0,0,0,0
Jacob Young,23,WSN,NL,33,121,107,9,27,7,1,0,12,13,0,10,22,0.252,0.322,0.336,0.658,84,36,2,1,3,0,0
Jared Young*,27,CHC,NL,16,47,43,8,8,0,3,2,8,2,0,3,13,0.186,0.255,0.465,0.720,88,20,1,1,0,0,0
Seby Zavala,29,TOT,MLB,73,193,175,17,30,4,0,7,18,1,0,12,70,0.171,0.230,0.314,0.545,47,55,4,2,2,2,0
Seby Zavala,29,CHW,AL,66,176,161,15,25,3,0,7,16,1,0,10,68,0.155,0.207,0.304,0.511,37,49,4,1,2,2,0
Seby Zavala,29,ARI,NL,7,17,14,2,5,1,0,0,2,0,0,2,2,0.357,0.471,0.429,0.899,149,6,0,1,0,0,0
Mike Zunino,32,CLE,AL,42,140,124,11,22,7,0,3,11,0,0,15,61,0.177,0.271,0.306,0.578,62,38,3,1,0,0,0