Player,Tm,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,Fmb
Calvin Austin,PIT,24,WR,17,1,11,57,1,4,63.6,12,5.2,3.4,2
Tank Dell,HOU,24,WR,11,8,11,51,0,3,54.5,13,4.6,4.6,1
Rashaad Penny,PHI,27,RB,3,0,11,33,0,1,45.5,7,3.0,11.0,0
Jayden Reed,GNB,23,WR,16,13,11,119,2,6,54.5,32,10.8,7.4,2
Trevor Siemian,NYJ,32,QB,5,3,11,40,0,5,54.5,13,3.6,8.0,5
Kadarius Toney,KAN,24,WR,13,2,11,31,0,2,27.3,14,2.8,2.4,1
KaVontae Turpin,DAL,27,WR,16,0,11,110,1,5,72.7,46,10.0,6.9,1
Damien Williams,ARI,31,RB,3,0,11,43,0,1,54.5,9,3.9,14.3,0
DeeJay Dallas,SEA,25,RB,17,0,10,36,0,2,70.0,8,3.6,2.1,2
Nick Mullens,MIN,28,QB,5,3,10,25,0,4,50.0,6,2.5,5.0,2
Mason Rudolph,PIT,28,QB,4,3,10,8,0,4,40.0,7,0.8,2.0,3
Tre Tucker,LVR,22,WR,16,1,10,77,0,4,70.0,34,7.7,4.8,0
Gary Brightwell,NYG,24,RB,7,0,9,19,0,0,22.2,5,2.1,2.7,0
Zach Evans,LAR,22,RB,10,0,9,19,0,0,0.0,5,2.1,1.9,0
Joe Flacco,CLE,38,QB,5,5,9,2,0,3,33.3,3,0.2,0.4,4
Marvin Mims*,DEN,21,WR,16,7,9,30,0,2,44.4,11,3.3,1.9,2
Elijah Moore,CLE,23,WR,17,12,9,11,0,2,33.3,19,1.2,0.6,2
Calvin Ridley,JAX,29,WR,17,17,9,23,0,3,33.3,18,2.6,1.4,1
Wan'Dale Robinson,NYG,22,WR,15,8,9,87,1,4,66.7,32,9.7,5.8,0
Jarrett Stidham,DEN,27,QB,3,2,9,8,0,1,22.2,4,0.9,2.7,1
C.J. Beathard,JAX,30,QB,7,1,8,35,0,2,37.5,19,4.4,5.0,1
Khari Blasingame,CHI,27,FB,16,2,8,26,0,0,25.0,6,3.3,1.6,0
J.K. Dobbins,BAL,25,RB,1,1,8,22,1,1,50.0,4,2.8,22.0,0
Demario Douglas,NWE,23,WR,14,7,8,41,0,2,62.5,20,5.1,2.9,3
Zay Flowers,BAL,23,WR,16,16,8,56,1,1,50.0,37,7.0,3.5,0
Xavier Gipson,NYJ,22,WR,17,3,8,68,1,4,62.5,18,8.5,4.0,5
Velus Jones Jr.,CHI,26,WR,14,0,8,51,0,4,62.5,17,6.4,3.6,0
Marcus Mariota,PHI,30,QB,3,0,8,52,0,6,87.5,17,6.5,17.3,1
Dare Ogunbowale,HOU,29,RB,12,0,8,35,0,2,37.5,17,4.4,2.9,0
Ihmir Smith-Marsette,CAR,24,WR,17,0,8,74,1,4,75.0,20,9.3,4.4,2
Deven Thompkins,TAM,24,WR,17,1,8,56,0,4,87.5,17,7.0,3.3,3
Clayton Tune,ARI,24,QB,7,1,8,30,1,3,62.5,11,3.8,4.3,2
Mike White,MIA,28,QB,6,0,8,-9,0,0,0.0,0,-1.1,-1.5,1
Michael Burton,DEN,31,FB,17,3,7,9,0,4,57.1,4,1.3,0.5,0
Jeff Driskel,CLE,30,QB,1,1,7,33,0,4,71.4,13,4.7,33.0,0
Blaine Gabbert,KAN,34,QB,2,1,7,45,0,2,42.9,25,6.4,22.5,0
Kalif Raymond,DET,29,WR,17,3,7,75,0,2,71.4,40,10.7,4.4,1
Curtis Samuel,WAS,27,WR,16,13,7,39,1,4,71.4,15,5.6,2.4,0
Tyler Scott,CHI,22,WR,17,4,7,41,0,2,71.4,16,5.9,2.4,1
Rashid Shaheed*+,NOR,25,WR,15,8,7,37,0,1,85.7,12,5.3,2.5,1
Tyrion Davis-Price,SFO,23,RB,1,0,6,21,0,1,50.0,15,3.5,21.0,0
Jaren Hall,MIN,25,QB,3,2,6,14,0,0,16.7,8,2.3,4.7,2
Tyreek Hill*+,MIA,29,WR,16,16,6,15,0,2,33.3,14,2.5,0.9,1
Hunter Luepke,DAL,23,RB,17,0,6,19,1,5,83.3,9,3.2,1.1,0
Tutu Atwell,LAR,24,WR,16,14,5,31,0,2,60.0,22,6.2,1.9,0
Andrew Beck,HOU,27,FB,15,12,5,3,1,2,40.0,2,0.6,0.2,1
Mike Boone,HOU,28,RB,9,0,5,23,0,2,60.0,11,4.6,2.6,1
Lynn Bowden Jr.,NOR,26,WR,15,3,5,32,0,3,60.0,29,6.4,2.1,1
Harrison Bryant,CLE,25,TE,17,9,5,8,0,4,80.0,2,1.6,0.5,1
Treylon Burks,TEN,23,WR,11,9,5,18,0,0,60.0,9,3.6,1.6,0
Brandin Cooks,DAL,30,WR,16,15,5,35,0,1,60.0,14,7.0,2.2,1
Erik Ezukanma,MIA,23,WR,2,0,5,22,0,1,60.0,12,4.4,11.0,0
Xavier Hutchinson,HOU,23,WR,16,0,5,49,0,3,100.0,17,9.8,3.1,0
Kyle Juszczyk*+,SFO,32,FB,17,16,5,6,0,2,60.0,3,1.2,0.4,0
Drew Lock,SEA,27,QB,4,2,5,14,0,1,20.0,11,2.8,3.5,0
Kene Nwangwu,MIN,25,RB,9,0,5,13,0,0,40.0,8,2.6,1.4,0
Brandon Powell,MIN,28,WR,17,2,5,17,0,1,60.0,9,3.4,1.0,1
Malik Willis,TEN,24,QB,3,0,5,21,0,1,40.0,11,4.2,7.0,1
Jameis Winston,NOR,29,QB,7,0,5,-6,0,0,0.0,-1,-1.2,-0.9,0
Jamal Agnew,JAX,28,WR,11,1,4,-2,0,0,0.0,1,-0.5,-0.2,1
Brandon Bolden,LVR,33,RB,17,0,4,31,1,2,50.0,26,7.8,1.8,0
Tim Boyle,NYJ,29,QB,3,2,4,5,0,3,75.0,2,1.3,1.7,2
Elijah Dotson,LAC,24,RB,4,0,4,6,0,0,25.0,2,1.5,1.5,0
Devin Duvernay,BAL,26,WR,13,1,4,15,0,0,50.0,8,3.8,1.2,0
Chris Godwin,TAM,27,WR,17,17,4,38,1,3,75.0,19,9.5,2.2,0
Marquise Goodwin,CLE,33,WR,12,0,4,33,0,2,50.0,20,8.3,2.8,0
Deonte Harty,BUF,26,WR,16,1,4,0,0,0,25.0,4,0.0,0.0,2
Jakobi Meyers,LVR,27,WR,16,16,4,24,2,3,75.0,17,6.0,1.5,0
D.J. Moore,CHI,26,WR,17,17,4,21,1,1,50.0,16,5.3,1.2,1
Amon-Ra St. Brown+,DET,24,WR,16,16,4,24,0,2,75.0,11,6.0,1.5,1
Christian Watson,GNB,24,WR,9,9,4,11,0,1,25.0,13,2.8,1.2,0
Garrett Wilson,NYJ,23,WR,17,17,4,0,0,1,50.0,6,0.0,0.0,2
Matt Barkley,JAX,33,QB,1,0,3,-3,0,0,0.0,-1,-1.0,-3.0,0
Jacoby Brissett,WAS,31,QB,3,0,3,19,0,0,66.7,10,6.3,6.3,0
DeAndre Carter,LVR,30,WR,17,1,3,18,0,2,66.7,15,6.0,1.1,2
Ja'Marr Chase*,CIN,23,WR,16,16,3,-6,0,0,0.0,2,-2.0,-0.4,1
Sean Clifford,GNB,25,QB,2,0,3,-2,0,0,0.0,0,-0.7,-1.0,1
Andy Dalton,CAR,36,QB,3,1,3,12,0,2,66.7,10,4.0,4.0,0
Gerald Everett,LAC,29,TE,15,12,3,10,0,0,33.3,6,3.3,0.7,3
Derrick Gore,WAS,29,RB,6,0,3,26,0,1,33.3,23,8.7,4.3,0
Brian Hoyer,LVR,38,QB,3,1,3,-3,0,0,0.0,-1,-1.0,-1.0,0
Quentin Johnston,LAC,22,WR,17,10,3,9,0,0,33.3,6,3.0,0.5,0
Cole Kmet,CHI,24,TE,17,17,3,2,0,2,66.7,1,0.7,0.1,1
Zonovan Knight,DET,22,RB,2,0,3,13,0,0,33.3,8,4.3,6.5,0
Ray-Ray McCloud,SFO,27,WR,12,1,3,30,0,2,100.0,15,10.0,2.5,1
Isaiah McKenzie,IND,28,WR,13,2,3,14,0,0,33.3,7,4.7,1.1,3
Bo Melton,GNB,24,WR,5,1,3,21,0,2,100.0,12,7.0,4.2,0
Ty Montgomery,NWE,30,WR,13,0,3,9,0,0,33.3,7,3.0,0.7,0
Skyy Moore,KAN,23,WR,14,8,3,23,0,1,100.0,11,7.7,1.6,0
Devine Ozigbo,DET,27,RB,3,0,3,5,0,1,66.7,4,1.7,1.7,0
Trey Palmer,TAM,22,WR,17,8,3,22,0,1,66.7,13,7.3,1.3,3
George Pickens,PIT,22,WR,17,16,3,18,0,2,66.7,16,6.0,1.1,3
Brett Rypien,LAR,27,QB,2,1,3,19,0,1,66.7,8,6.3,9.5,2
Tyquan Thornton,NWE,23,WR,9,3,3,51,0,1,66.7,39,17.0,5.7,0
Jaylen Waddle,MIA,25,WR,14,14,3,12,0,1,33.3,12,4.0,0.9,0
Jonathan Ward,TEN,26,RB,7,0,3,11,0,1,33.3,8,3.7,1.6,0
Jameson Williams,DET,22,WR,12,10,3,29,1,1,100.0,19,9.7,2.4,1
Keenan Allen*,LAC,31,WR,13,13,2,6,0,1,100.0,4,3.0,0.5,2
Nick Bawden,NYJ,27,FB,16,2,2,4,1,1,50.0,3,2.0,0.3,0
Tyler Boyd,CIN,29,WR,17,13,2,11,0,1,100.0,6,5.5,0.6,0
Teddy Bridgewater,DET,31,QB,1,0,2,-2,0,0,0.0,-1,-1.0,-2.0,0
Marquise Brown,ARI,26,WR,14,14,2,23,0,1,50.0,29,11.5,1.6,0
Ashtyn Davis,NYJ,27,S,17,5,2,3,0,1,50.0,4,1.5,0.2,1
Kenyan Drake,2TM,29,,3,0,2,0,0,0,0.0,0,0.0,0.0,1
D'Wayne Eskridge,SEA,26,WR,4,0,2,5,0,1,50.0,10,2.5,1.3,0
Chris Evans,CIN,26,RB,8,0,2,12,0,0,0.0,7,6.0,1.5,0
Jake Funk,IND,25,RB,4,0,2,10,0,0,0.0,7,5.0,2.5,0
DeAndre Hopkins,TEN,31,WR,17,16,2,9,0,0,100.0,5,4.5,0.5,0
Alec Ingold*,MIA,27,FB,17,13,2,0,0,0,0.0,0,0.0,0.0,0
Charlie Jones,CIN,25,WR,11,0,2,13,0,1,100.0,7,6.5,1.2,0
Case Keenum,HOU,35,QB,2,2,2,1,0,0,0.0,1,0.5,0.5,1
Davis Mills,HOU,25,QB,6,0,2,9,0,0,50.0,9,4.5,1.5,0
Darnell Mooney,CHI,26,WR,15,14,2,5,0,0,0.0,3,2.5,0.3,0
Chris Moore,TEN,30,WR,17,5,2,39,0,1,50.0,38,19.5,2.3,1
Chigoziem Okonkwo,TEN,24,TE,17,11,2,6,0,1,50.0,4,3.0,0.4,0
Nathan Peterman,CHI,29,QB,2,0,2,-4,0,0,0.0,-2,-2.0,-2.0,1
Adam Prentice,NOR,26,FB,13,1,2,12,0,1,100.0,7,6.0,0.9,1
Jalen Reeves-Maybin*,DET,28,LB,17,0,2,3,0,1,50.0,3,1.5,0.2,0
Ben Skowronek,LAR,26,WR,17,0,2,9,0,1,50.0,11,4.5,0.5,0
Jordan Addison,MIN,21,WR,17,14,1,2,0,0,0.0,2,2.0,0.1,0
Mark Andrews,BAL,28,TE,10,9,1,0,0,0,0.0,0,0.0,0.0,1
Rashod Bateman,BAL,24,WR,16,12,1,18,0,1,100.0,18,18.0,1.1,0
Braxton Berrios,MIA,28,WR,16,1,1,11,0,1,100.0,11,11.0,0.7,1
Jake Bobo,SEA,25,WR,17,0,1,3,1,1,100.0,3,3.0,0.2,0
Kendrick Bourne,NWE,28,WR,8,5,1,4,0,1,100.0,4,4.0,0.5,1
Dyami Brown,WAS,24,WR,17,1,1,0,0,0,0.0,0,0.0,0.0,0
Noah Brown,HOU,27,WR,10,7,1,-1,0,0,0.0,-1,-1.0,-0.1,0
Jason Cabinda,DET,27,FB,4,0,1,0,0,0,0.0,0,0.0,0.0,0
Nico Collins,HOU,24,WR,15,10,1,7,0,0,100.0,7,7.0,0.5,1
Tyler Conklin,NYJ,28,TE,17,12,1,0,0,0,0.0,0,0.0,0.0,0
Jashaun Corbin,NYG,23,RB,6,0,1,1,0,1,100.0,1,1.0,0.2,0
Gabriel Davis,BUF,24,WR,17,17,1,-2,0,0,0.0,-2,-2.0,-0.1,1
Stefon Diggs,BUF,30,WR,17,17,1,5,0,1,100.0,5,5.0,0.3,2
Greg Dortch,ARI,25,WR,16,4,1,5,0,0,100.0,5,5.0,0.3,0
Blake Gillikin,ARI,25,P,13,0,1,10,0,1,100.0,10,10.0,0.8,0
Dallas Goedert,PHI,28,TE,14,14,1,1,0,0,0.0,1,1.0,0.1,0
Kylen Granson,IND,25,TE,15,7,1,2,0,1,100.0,2,2.0,0.1,0
Noah Gray,KAN,24,TE,17,10,1,1,0,0,0.0,1,1.0,0.1,0
C.J. Ham,MIN,30,FB,17,5,1,7,0,0,100.0,7,7.0,0.4,0
Mecole Hardman,2TM,25,,11,2,1,3,0,0,0.0,3,3.0,0.3,1
Johnny Hekker,CAR,33,P,17,0,1,-11,0,0,0.0,-11,-11.0,-0.6,1
Peyton Hendershot,DAL,24,TE,8,1,1,0,0,0,0.0,0,0.0,0.0,0
Connor Heyward,PIT,24,TE,17,7,1,0,0,0,0.0,0,0.0,0.0,0
KhaDarel Hodge,ATL,28,WR,17,4,1,0,0,0,0.0,0,0.0,0.0,1
Amani Hooker,TEN,25,DB,13,13,1,2,0,1,100.0,2,2.0,0.2,0
Evan Hull,IND,23,RB,1,0,1,1,0,0,0.0,1,1.0,1.0,0
Rakim Jarrett,TAM,22,WR,10,0,1,0,0,0,0.0,0,0.0,0.0,0
Justin Jefferson,MIN,24,WR,10,9,1,-12,0,0,0.0,-12,-12.0,-1.2,1
Van Jefferson,2TM,27,,17,9,1,4,0,0,100.0,4,4.0,0.2,0
Cameron Johnston,HOU,31,P,13,0,1,-23,0,0,0.0,-23,-23.0,-1.8,0
Christian Kirk,JAX,27,WR,12,12,1,6,0,0,100.0,6,6.0,0.5,2
George Kittle*+,SFO,30,TE,16,16,1,2,0,1,100.0,2,2.0,0.1,0
Cooper Kupp,LAR,30,WR,12,12,1,-3,0,0,0.0,-3,-3.0,-0.3,0
Sam LaPorta*,DET,22,TE,17,14,1,4,0,0,100.0,4,4.0,0.2,0
John Metchie,HOU,23,WR,16,0,1,4,0,0,100.0,4,4.0,0.3,0
Nick Niemann,LAC,26,LB,17,3,1,0,0,0,0.0,-2,0.0,0.0,1
Keisean Nixon+,GNB,26,CB,17,13,1,11,0,1,100.0,11,11.0,0.6,3
Josh Palmer,LAC,24,WR,10,6,1,6,0,0,100.0,6,6.0,0.6,1
Kyle Pitts,ATL,23,TE,17,15,1,-4,0,0,0.0,-4,-4.0,-0.2,0
Jalen Reagor,NWE,24,WR,11,1,1,17,0,1,100.0,17,17.0,1.5,0
Rashee Rice,KAN,23,WR,16,8,1,-3,0,0,0.0,-3,-3.0,-0.2,2
Demarcus Robinson,LAR,29,WR,16,4,1,23,0,1,100.0,23,23.0,1.4,2
James Robinson,GNB,25,RB,1,0,1,2,0,0,0.0,2,2.0,2.0,0
Khalil Shakir,BUF,23,WR,17,10,1,10,0,1,100.0,10,10.0,0.6,1
Sterling Shepard,NYG,30,WR,15,2,1,6,0,0,100.0,6,6.0,0.4,1
Steven Sims,HOU,26,WR,3,0,1,1,0,0,0.0,1,1.0,0.3,0
Jonnu Smith,ATL,28,TE,17,6,1,0,0,0,0.0,0,0.0,0.0,1
Ryan Stonehouse,TEN,24,P,12,0,1,-11,0,0,0.0,-11,-11.0,-0.9,1
Trent Taylor,CHI,29,WR,17,0,1,-2,0,0,0.0,-2,-2.0,-0.1,2
Adam Thielen,CAR,33,WR,17,17,1,6,0,0,100.0,6,6.0,0.4,2
Logan Thomas,WAS,32,TE,16,15,1,2,0,1,100.0,2,2.0,0.1,2
Cedric Tillman,CLE,23,WR,14,3,1,8,0,0,100.0,8,8.0,0.6,0
Kyle Trask,TAM,25,QB,2,0,1,-1,0,0,0.0,-1,-1.0,-0.5,0
Zeke Turner,ARI,27,LB,16,1,1,2,0,1,100.0,2,2.0,0.1,0
Tress Way,WAS,33,P,17,0,1,0,0,0,0.0,0,0.0,0.0,0
Dontayvion Wicks,GNB,22,WR,15,6,1,1,0,0,0.0,1,1.0,0.1,3
Jonathan Williams,WAS,29,RB,1,0,1,-2,0,0,0.0,-2,-2.0,-2.0,0
Mike Williams,LAC,29,WR,3,3,1,3,0,0,0.0,3,3.0,1.0,0
Robert Woods,HOU,31,WR,14,11,1,7,0,0,100.0,7,7.0,0.5,0
Logan Woodside,ATL,28,QB,1,0,1,6,0,0,100.0,6,6.0,6.0,0
Ty Zentner,2TM,25,,9,0,1,0,0,0,0.0,0,0.0,0.0,1