PLAYER,TEAM,GP,FGM,FGA,3PM,3PA,FTM,FTA
Trae Young,ATL,76,711,1544,233,610,500,553
DeMar DeRozan,CHI,76,774,1535,50,142,520,593
Joel Embiid,PHI,68,666,1334,93,251,654,803
Jayson Tatum,BOS,76,708,1564,230,651,400,469
Nikola Jokic,DEN,74,764,1311,97,288,379,468
Giannis Antetokounmpo,MIL,67,689,1245,71,242,553,766
Luka Doncic,DAL,65,641,1403,201,569,364,489
Devin Booker,PHX,68,662,1421,183,478,315,363
Karl-Anthony Towns,MIN,74,642,1214,150,366,384,467
Donovan Mitchell,UTA,67,617,1376,232,654,267,313
LeBron James,LAL,56,640,1221,161,448,254,336
Kevin Durant,BKN,55,578,1115,115,300,372,409
Zach LaVine,CHI,67,565,1186,185,475,320,375
Stephen Curry,GSW,64,535,1224,285,750,275,298
Miles Bridges,CHA,80,596,1214,154,465,267,333
Ja Morant,MEM,57,580,1177,88,256,316,415
Jaylen Brown,BOS,66,576,1217,166,464,241,318
Pascal Siakam,TOR,68,596,1207,75,218,284,379
Anthony Edwards,MIN,72,549,1245,215,602,220,280
LaMelo Ball,CHA,75,538,1254,220,565,212,243
Darius Garland,CLE,68,542,1173,174,454,215,241
Julius Randle,NYK,72,512,1246,120,390,303,401
Russell Westbrook,LAL,78,548,1233,79,265,266,399
Dejounte Murray,SAS,68,573,1241,96,294,196,247
James Harden,PHI,65,407,992,148,448,470,536
Terry Rozier,CHA,73,518,1167,222,593,150,176
Jordan Poole,GSW,76,474,1058,211,580,246,266
RJ Barrett,NYK,70,487,1194,138,404,290,406
Desmond Bane,MEM,76,508,1101,228,523,140,155
Shai Gilgeous-Alexander,OKC,56,477,1052,89,297,328,405
CJ McCollum,NOP,62,536,1164,182,469,116,170
De'Aaron Fox,SAC,59,516,1092,74,249,261,348
Tyler Herro,MIA,66,501,1122,175,439,190,219
Khris Middleton,MIL,66,452,1021,162,434,259,291
Saddiq Bey,DET,82,450,1136,211,610,210,254
Fred VanVleet,TOR,65,442,1097,242,642,194,222
Jonas Valanciunas,NOP,74,510,938,57,158,237,289
Tyrese Maxey,PHI,75,483,995,132,309,213,246
Nikola Vucevic,CHI,73,546,1154,104,331,92,121
Jalen Brunson,DAL,79,506,1008,94,252,179,213
Gary Trent Jr.,TOR,70,450,1086,209,545,174,204
Keldon Johnson,SAS,75,471,1011,159,399,177,234
Jaren Jackson Jr.,MEM,78,430,1036,128,401,284,345
Jordan Clarkson,UTA,79,466,1113,190,597,144,174
Buddy Hield,IND,81,446,1098,262,716,111,127
Harrison Barnes,SAC,77,391,834,142,360,341,413
Reggie Jackson,LAC,75,479,1222,167,512,138,163
Tobias Harris,PHI,73,493,1022,101,275,170,202
Andrew Wiggins,GSW,73,475,1019,157,399,149,235
Bojan Bogdanovic,UTA,69,422,928,181,468,223,260
Brandon Ingram,NOP,55,453,983,74,226,266,322
Jrue Holiday,MIL,67,478,954,132,321,137,180
Jimmy Butler,MIA,57,398,829,27,116,396,455
Christian Wood,HOU,68,440,878,131,336,207,332
Franz Wagner,ORL,79,456,975,96,271,189,219
Tyrese Haliburton,IND,77,430,909,161,389,160,190
D'Angelo Russell,MIN,65,401,975,176,518,198,240
Domantas Sabonis,SAC,62,443,773,39,125,246,332
Mikal Bridges,PHX,82,458,858,115,312,131,157
Jalen Green,HOU,67,406,954,157,458,188,236
Kelly Oubre Jr.,CHA,76,410,932,191,553,126,189
Scottie Barnes,TOR,74,459,932,58,193,158,215
Kyle Kuzma,WAS,66,423,936,128,375,156,219
Aaron Gordon,DEN,75,434,834,87,260,171,230
Evan Fournier,NYK,80,402,965,241,619,80,113
Cade Cunningham,DET,64,429,1031,114,363,142,168
Bam Adebayo,MIA,56,406,729,0,6,256,340
Cole Anthony,ORL,65,357,912,132,391,216,253
Bobby Portis,MIL,72,417,871,133,338,85,113
Malik Monk,LAL,76,391,826,173,442,93,117
Will Barton,DEN,71,392,896,157,430,102,127
Evan Mobley,CLE,69,422,830,23,92,167,252
Kristaps Porzingis,WAS,51,352,767,78,252,248,286
Rudy Gobert,UTA,66,362,508,0,4,303,439
Kentavious Caldwell-Pope,WAS,77,361,829,159,408,137,154
Kevin Love,CLE,74,327,761,187,477,166,198
Deandre Ayton,PHX,58,442,697,7,19,106,142
Derrick White,BOS,75,337,800,115,369,203,235
Anfernee Simons,POR,57,353,797,179,442,103,116
Caris LeVert,CLE,58,379,854,82,256,146,193
Mike Conley,UTA,72,344,791,169,414,129,162
Seth Curry,BKN,64,360,739,158,374,82,94
Chris Paul,PHX,65,363,736,63,199,169,202
Malik Beasley,MIN,79,332,850,240,637,49,60
Bogdan Bogdanovic,ATL,63,342,794,169,459,97,115
Kevin Porter Jr.,HOU,61,335,808,155,413,124,193
Monte Morris,DEN,75,374,773,124,314,73,84
Alec Burks,NYK,81,285,728,157,389,217,264
Montrezl Harrell,CHA,71,358,555,4,17,212,296
Wendell Carter Jr.,ORL,62,359,684,70,214,143,207
Bradley Beal,WAS,40,348,771,63,210,169,203
Anthony Davis,LAL,40,370,695,13,70,174,244
Patty Mills,BKN,81,324,794,227,568,48,59
Carmelo Anthony,LAL,69,319,723,149,397,132,159
Jae'Sean Tate,HOU,78,363,729,63,202,130,184
Spencer Dinwiddie,DAL,67,306,735,112,330,195,252
Jakob Poeltl,SAS,68,410,663,1,1,94,190
Jarrett Allen,CLE,56,369,545,1,10,165,233
Jerami Grant,DET,47,298,699,91,254,217,259
Devonte' Graham,NOP,76,296,815,192,563,118,140
Lauri Markkanen,CLE,61,313,703,136,380,138,159
Kevin Huerter,ATL,74,345,760,160,411,42,52
Immanuel Quickley,NYK,78,284,724,137,396,177,201
Dorian Finney-Smith,DAL,80,326,692,172,435,56,83
Luguentz Dort,OKC,51,293,726,130,391,161,191
John Collins,ATL,54,339,644,64,176,134,169
Devin Vassell,SAS,71,326,764,137,380,83,99
Terance Mann,LAC,81,334,690,76,208,128,164
Dennis Schroder,HOU,64,312,724,86,250,157,184
Duncan Robinson,MIA,79,290,726,232,624,51,61
Davion Mitchell,SAC,75,352,843,101,320,56,85
Marcus Smart,BOS,71,300,718,119,360,142,179
Norman Powell,LAC,45,279,605,106,253,189,233
Lonnie Walker IV,SAS,70,311,764,111,353,116,148
Kyle Lowry,MIA,63,276,627,144,382,148,174
Jusuf Nurkic,POR,56,321,600,15,56,185,268
Luke Kennard,LAC,70,287,639,190,423,69,77
Marcus Morris Sr.,LAC,54,300,691,101,275,129,148
Cameron Johnson,PHX,66,279,607,166,391,98,114
O.G. Anunoby,TOR,48,309,697,115,317,89,118
Clint Capela,ATL,74,370,604,0,1,80,169
Josh Hart,POR,54,287,569,73,213,160,211
Kyrie Irving,BKN,29,289,616,100,239,118,129
De'Anthony Melton,MEM,73,281,695,139,372,90,120
Trey Lyles,SAC,75,262,562,67,209,195,243
Ivica Zubac,LAC,76,310,495,0,0,165,227
Gordon Hayward,CHA,49,283,617,86,220,126,149
Coby White,CHI,61,279,644,136,353,78,91
Jeff Green,DEN,75,277,529,53,168,165,198
Danilo Gallinari,ATL,66,259,597,112,294,141,156
Eric Gordon,HOU,57,268,564,124,301,105,135
Mo Bamba,ORL,71,296,617,107,281,57,73
Chris Boucher,TOR,80,268,577,68,229,150,193
Paul George,LAC,31,268,636,91,257,127,148
Justin Holiday,SAC,74,261,662,177,482,50,62
Darius Bazley,OKC,69,274,649,80,269,117,170
Herbert Jones,NOP,78,274,576,57,169,137,163
Grayson Allen,MIL,66,255,569,159,389,64,74
Max Strus,MIA,68,249,564,181,442,42,53
Chris Duarte,IND,55,268,621,94,255,90,112
Dwight Powell,DAL,82,269,401,13,37,166,212
Cedi Osman,CLE,66,247,572,128,359,87,131
De'Andre Hunter,ATL,53,254,575,74,195,127,166
Al Horford,BOS,69,266,569,89,265,80,95
Georges Niang,PHI,76,246,563,156,387,52,59
Bones Hyland,DEN,69,230,571,131,358,107,125
Kenyon Martin Jr.,HOU,79,279,523,60,168,78,123
Damian Lillard,POR,29,222,552,92,284,159,181
Alperen Sengun,HOU,72,249,525,29,117,165,232
Nickeil Alexander-Walker,UTA,65,253,680,105,338,81,109
Malcolm Brogdon,IND,36,243,543,58,186,143,167
Deni Avdija,WAS,82,250,579,82,259,103,136
JaVale McGee,PHX,74,288,458,2,9,102,146
Ayo Dosunmu,CHI,77,278,535,70,186,53,78
Gary Harris,ORL,61,240,553,116,302,83,95
Daniel Gafford,WAS,72,285,411,0,1,107,153
Josh Giddey,OKC,54,281,670,56,213,56,79
P.J. Washington,CHA,65,250,532,110,301,58,81
Brandon Clarke,MEM,64,288,447,5,22,85,130
Josh Richardson,SAS,65,234,534,102,246,96,108
Precious Achiuwa,TOR,73,265,603,56,156,78,131
Bryn Forbes,DEN,75,231,539,122,295,79,87
Ben McLemore,POR,64,216,539,151,417,72,88
Jaxson Hayes,NOP,70,245,398,20,57,144,188
Jonathan Kuminga,GSW,70,236,460,50,149,130,190
Klay Thompson,GSW,32,246,573,114,296,46,51
Garrison Mathews,HOU,65,184,461,139,386,143,180
Obi Toppin,NYK,72,251,473,52,169,94,124
Bruce Brown,BKN,72,256,506,38,94,97,128
Jaden McDaniels,MIN,70,255,554,80,252,57,71
Pat Connaughton,MIL,65,227,496,146,370,45,54
Naz Reid,MIN,77,233,476,57,166,114,149
Hamidou Diallo,DET,58,261,526,23,93,91,140
Corey Kispert,WAS,77,234,514,112,320,54,62
Jae Crowder,PHX,67,217,544,127,365,71,90
Tyus Jones,MEM,73,249,552,80,205,54,66
Terrence Ross,ORL,63,220,554,77,264,112,130
Cameron Payne,PHX,58,240,587,71,211,75,89
Tre Mann,OKC,60,231,588,98,272,65,82
Amir Coffey,LAC,69,211,466,96,254,101,117
Oshae Brissett,IND,67,208,506,83,237,114,164
Mitchell Robinson,NYK,72,261,343,0,0,88,181
LaMarcus Aldridge,BKN,47,252,458,14,46,89,102
Robert Williams III,BOS,61,271,368,0,1,65,90
Chuma Okeke,ORL,70,216,575,118,371,55,65
Robert Covington,LAC,71,209,498,128,339,58,69
Grant Williams,BOS,77,205,432,106,258,86,95
Tim Hardaway Jr.,DAL,42,209,530,102,304,78,103
Talen Horton-Tucker,LAL,60,224,538,49,182,100,125
Gabe Vincent,MIA,68,214,513,119,323,44,54
Dillon Brooks,MEM,32,227,526,46,149,90,106
Isaiah Stewart,DET,71,250,490,15,46,74,103
Isaac Okoro,CLE,67,207,431,55,157,119,155
Josh Christopher,HOU,74,224,500,56,189,83,113
Reggie Bullock,DAL,68,201,501,141,392,40,48
Andre Drummond,BKN,73,247,433,0,3,86,164
Doug McDermott,SAS,51,215,465,108,256,40,51
Landry Shamet,PHX,69,191,485,123,334,68,81
Cam Thomas,BKN,67,218,503,47,174,87,105
Royce O'Neale,UTA,77,203,444,119,306,45,56
Jalen Suggs,ORL,48,198,548,42,196,126,163
Moritz Wagner,ORL,63,197,396,66,201,104,129
Isaiah Hartenstein,LAC,68,229,366,14,30,91,132
Frank Jackson,DET,53,194,483,86,279,86,104
Caleb Martin,MIA,60,208,410,64,155,71,93
Drew Eubanks,POR,71,221,371,5,23,99,130
Cody Martin,CHA,71,204,423,61,159,75,107
Marvin Bagley III,DET,48,225,446,23,97,67,101
Myles Turner,IND,42,200,393,61,183,79,105
P.J. Tucker,MIA,71,207,428,80,193,45,61
Chimezie Metu,SAC,60,203,449,57,186,71,91
Eric Bledsoe,POR,54,197,468,51,163,89,117
Hassan Whiteside,UTA,65,215,330,0,0,104,167
Patrick Beverley,MIN,58,177,436,83,242,96,133
Steven Adams,MEM,76,210,384,0,1,108,199
Jaylen Nowell,MIN,62,196,413,63,160,72,92
Raul Neto,WAS,70,204,441,35,120,83,108
Cory Joseph,DET,65,178,400,65,157,100,113
Kyle Anderson,MEM,69,209,469,36,109,67,105
Torrey Craig,PHX,78,200,441,77,234,39,52
Otto Porter Jr.,GSW,63,193,416,80,216,49,61
Jarred Vanderbilt,MIN,74,212,361,2,14,86,131
Furkan Korkmaz,PHI,67,182,470,77,266,68,84
Gary Payton II,GSW,71,212,344,43,120,35,58
Taurean Prince,MIN,69,177,390,86,229,62,82
Ziaire Williams,MEM,62,191,424,76,242,43,55
Cam Reddish,NYK,49,165,408,66,184,101,112
Kevon Looney,GSW,82,208,364,0,1,75,125
Nicolas Batum,LAC,59,179,387,108,270,25,38
R.J. Hampton,ORL,64,175,457,64,183,75,117
Jordan Nwora,MIL,62,186,462,79,227,36,43
Mason Plumlee,CHA,73,205,320,0,2,67,171
Rui Hachimura,WAS,42,187,381,55,123,46,66
Duane Washington Jr.,IND,48,173,427,81,215,46,61
Jalen Smith,IND,51,176,350,40,122,78,102
Javonte Green,CHI,65,176,325,36,101,80,96
Richaun Holmes,SAC,45,198,300,2,5,70,90
Damion Lee,GSW,63,169,383,63,187,66,75
Aleksej Pokusevski,OKC,61,186,456,57,197,35,50
Lonzo Ball,CHI,35,162,383,110,260,21,28
Damian Jones,SAC,56,175,266,10,29,94,131
Isaiah Roby,OKC,45,166,323,44,99,78,116
Killian Hayes,DET,66,176,459,44,167,57,74
Willy Hernangomez,NOP,50,170,327,4,12,109,141
Shake Milton,PHI,55,173,403,43,133,61,73
Rudy Gay,UTA,55,157,379,70,203,62,79
Ricky Rubio,IND,34,149,411,59,174,88,103
Austin Reaves,LAL,61,146,318,53,167,99,118
Payton Pritchard,BOS,71,160,373,101,245,21,21
Nemanja Bjelica,GSW,71,160,342,54,149,59,81
JaMychal Green,DEN,67,159,327,33,124,81,93
Kemba Walker,NYK,37,149,370,73,199,60,71
DeMarcus Cousins,DEN,48,149,324,37,122,95,125
Dewayne Dedmon,MIA,67,164,290,19,47,75,100
Aaron Wiggins,OKC,50,156,337,42,138,62,85
Tre Jones,SAS,69,166,339,10,51,71,91
Maxi Kleber,DAL,59,141,354,83,255,46,65
Ish Smith,WAS,65,185,430,25,67,15,24
Jeremy Lamb,SAC,56,133,347,55,170,89,106
Nassir Little,POR,42,145,315,51,154,69,94
Nic Claxton,BKN,47,178,264,0,0,54,93
Austin Rivers,DEN,67,146,350,79,231,32,44
Aaron Holiday,PHX,63,151,338,39,103,59,68
Avery Bradley,LAL,62,148,350,82,210,16,18
Onyeka Okongwu,ATL,48,156,226,0,0,80,110
Daniel Theis,BOS,47,151,291,33,107,49,72
Lance Stephenson,IND,46,147,323,27,90,63,80
Lamar Stevens,CLE,63,156,319,18,65,53,75
Donte DiVincenzo,SAC,42,118,336,74,218,70,83
Matisse Thybulle,PHI,66,150,300,45,144,34,43
Dwight Howard,LAL,60,134,219,8,15,96,146
Danny Green,PHI,62,126,320,103,271,11,14
Jeremiah Robinson-Earl,OKC,49,134,324,58,165,40,54
Kelly Olynyk,DET,40,128,286,40,119,69,89
Serge Ibaka,MIL,54,148,296,37,99,32,44
Trendon Watford,POR,48,142,267,9,38,71,94
Kenrich Williams,OKC,49,146,317,41,121,30,55
