PLAYER,TEAM,GP,FGM,FGA,3PM,3PA,FTM,FTA
Theo Maledon,OKC,51,119,317,44,150,79,100
Blake Griffin,BKN,56,133,313,38,145,55,76
Lou Williams,ATL,56,125,320,37,102,67,78
Goga Bitadze,IND,50,131,252,23,80,64,94
John Konchar,MEM,72,135,262,52,126,27,49
Draymond Green,GSW,46,135,257,16,54,60,91
Mike Muscala,OKC,43,113,248,70,163,48,57
Tristan Thompson,CHI,57,141,267,1,3,61,116
Brandon Boston Jr.,LAC,51,125,325,34,111,59,72
Delon Wright,ATL,77,122,269,44,116,54,63
Jalen McDaniels,CHA,55,123,254,41,108,53,72
James Johnson,BKN,62,144,307,23,85,29,55
Ty Jerome,OKC,48,124,328,54,186,38,47
CJ Elleby,POR,58,121,308,37,126,60,84
Keita Bates-Diop,SAS,59,136,263,17,55,46,61
Eric Paschall,UTA,58,114,235,40,108,66,86
George Hill,MIL,54,118,275,41,134,57,62
Trey Murphy III,NOP,62,109,277,71,186,45,51
Facundo Campazzo,DEN,65,107,296,58,193,60,78
Jose Alvarado,NOP,54,131,294,32,110,36,53
Josh Jackson,SAC,51,120,300,33,130,55,77
Joe Ingles,POR,45,115,285,78,225,17,22
Thaddeus Young,TOR,52,141,272,17,48,23,49
Larry Nance Jr.,NOP,46,129,247,23,70,40,57
Stanley Johnson,LAL,48,117,251,33,105,53,74
Josh Green,DAL,67,130,256,28,78,31,45
Terry Taylor,IND,33,135,220,12,38,36,51
Naji Marshall,NOP,55,109,269,21,105,74,93
Davis Bertans,DAL,56,99,275,77,230,36,40
Derrick Rose,NYK,26,122,274,37,92,30,31
Terence Davis,SAC,30,113,267,49,149,36,44
Brandon Williams,POR,24,105,282,31,106,68,97
Garrett Temple,NOP,59,111,295,59,185,28,41
Alex Caruso,CHI,41,102,256,42,126,58,73
Omer Yurtseven,MIA,56,130,247,1,11,38,61
Juan Toscano-Anderson,GSW,73,115,235,28,87,40,70
Isaiah Jackson,IND,36,116,206,5,16,60,88
D.J. Augustin,LAL,55,94,222,68,164,38,43
Armoni Brooks,TOR,54,98,289,74,249,18,21
Joshua Primo,SAS,50,101,270,42,137,44,59
Wayne Ellington,LAL,43,98,237,82,211,9,11
Derrick Jones Jr.,CHI,51,105,195,20,61,56,70
DeAndre' Bembry,MIL,56,124,221,15,36,21,35
Kessler Edwards,BKN,48,110,267,48,136,16,19
Troy Brown Jr.,CHI,66,108,258,47,133,20,26
Jevon Carter,MIL,66,98,253,66,170,15,18
Quentin Grimes,NYK,46,95,235,72,189,13,19
Justise Winslow,POR,48,110,257,15,66,39,66
Rodney McGruder,DET,51,98,225,58,146,19,26
Zeke Nnaji,DEN,41,96,186,37,80,41,65
Dean Wade,CLE,51,99,217,51,142,20,30
Keon Johnson,POR,37,96,272,34,100,41,51
Jock Landale,SAS,54,101,204,29,89,34,41
Svi Mykhailiuk,TOR,56,91,234,41,134,32,37
Robin Lopez,ORL,36,110,199,2,6,32,54
Xavier Tillman,MEM,53,98,216,10,49,46,71
Wesley Matthews,MIL,49,87,220,53,157,22,28
Danuel House Jr.,UTA,42,80,198,44,117,44,58
Khem Birch,TOR,55,97,200,0,14,53,71
Frank Ntilikina,DAL,58,89,223,38,111,24,25
Alex Len,SAC,39,94,176,6,21,41,63
David Nwaba,HOU,46,85,176,15,49,48,67
Jordan McLaughlin,MIN,62,88,200,27,85,30,40
T.J. McConnell,IND,27,100,208,10,33,19,23
Taj Gibson,NYK,52,86,166,15,38,42,52
Moses Moody,GSW,52,80,183,40,110,28,36
Timothe Luwawu-Cabarrot,ATL,52,74,186,44,122,35,41
Greg Brown III,POR,48,81,190,19,61,44,65
Romeo Langford,SAS,48,83,191,29,85,23,42
Zach Collins,SAS,28,76,155,14,41,52,65
Maurice Harkless,SAC,47,83,181,31,101,20,28
Trey Burke,DAL,42,84,215,26,82,20,23
Bismack Biyombo,PHX,36,86,145,0,0,38,71
Ignas Brazdeikis,ORL,42,81,188,27,87,21,32
Davon Reed,DEN,48,81,161,37,86,10,15
Saben Lee,DET,37,69,177,14,60,56,71
DeAndre Jordan,PHI,48,92,143,0,0,22,40
Dennis Smith Jr.,POR,37,79,189,6,27,42,64
Derrick Favors,OKC,39,94,182,2,16,16,25
Dalano Banton,TOR,64,83,202,13,51,26,44
Thomas Bryant,WAS,27,77,148,12,42,35,40
Lindy Waters III,OKC,25,71,175,53,146,4,5
Day'Ron Sharpe,BKN,32,86,149,2,7,24,41
Isaiah Joe,PHI,55,62,177,45,135,29,31
Tomas Satoransky,WAS,55,72,191,11,53,43,54
Aaron Nesmith,BOS,52,72,182,31,115,21,26
Markelle Fultz,ORL,18,83,175,4,17,25,31
Trent Forrest,UTA,60,76,155,5,27,38,48
Malachi Flynn,TOR,44,72,183,30,90,15,24
Tony Snell,NOP,53,69,171,45,128,4,4
Vit Krejci,OKC,30,68,167,32,98,19,22
Luka Garza,DET,32,66,147,16,49,38,61
Rajon Rondo,CLE,39,68,176,31,88,19,26
Isaiah Thomas,CHA,22,67,167,28,83,22,26
Anthony Gill,WAS,44,62,109,14,26,42,52
Keifer Sykes,IND,32,69,190,27,90,15,17
Collin Sexton,CLE,11,68,151,11,45,29,39
Brandon Goodwin,CLE,36,64,154,19,55,24,38
Kelan Martin,BOS,30,70,171,22,75,9,13
Moses Brown,CLE,40,64,108,0,0,43,72
Thanasis Antetokounmpo,MIL,48,70,128,2,14,29,46
Rodney Hood,LAC,52,58,157,30,91,17,19
Tony Bradley,CHI,55,72,123,0,0,19,29
Yuta Watanabe,TOR,38,56,138,27,79,24,40
Brook Lopez,MIL,13,61,131,19,53,20,23
Jared Butler,UTA,42,61,151,28,88,11,16
Matt Thomas,CHI,40,55,134,35,91,16,20
Sterling Brown,DAL,49,59,155,28,92,14,15
Joe Harris,BKN,14,56,124,41,88,5,6
Goran Dragic,BKN,21,57,151,16,63,27,33
Gorgui Dieng,ATL,44,53,112,29,68,19,26
Marquese Chriss,DAL,34,62,134,8,25,22,33
Sandro Mamukelashvili,MIL,41,57,115,22,52,18,22
Olivier Sarr,OKC,22,58,101,13,29,24,29
Patrick Williams,CHI,17,54,102,15,29,30,41
Elfrid Payton,PHX,50,67,175,4,18,12,32
Nick Richards,CHA,50,60,90,0,0,30,43
Admiral Schofield,ORL,38,54,129,26,79,12,15
James Bouknight,CHA,31,49,141,17,49,27,31
Kira Lewis Jr.,NOP,24,59,146,13,58,10,12
Wenyen Gabriel,LAL,26,54,110,8,28,25,42
Cody Zeller,POR,27,51,90,0,4,38,49
Nathan Knight,MIN,37,45,88,4,13,44,60
Josh Okogie,MIN,49,42,104,14,47,35,51
Kent Bazemore,LAL,39,45,139,29,80,13,17
Santi Aldama,MEM,32,53,132,6,48,20,32
Juancho Hernangomez,UTA,40,44,106,24,69,19,34
Jarrett Culver,MEM,37,51,135,12,47,16,34
Markieff Morris,MIA,17,54,114,13,39,8,9
Enes Freedom,BOS,35,51,97,2,5,24,28
Elijah Hughes,POR,36,47,144,25,95,7,9
Markus Howard,DEN,31,39,101,28,70,20,23
Andre Iguodala,GSW,31,46,121,17,74,15,20
Isaiah Livers,DET,19,41,90,27,64,12,14
Killian Tillie,MEM,36,43,127,27,86,5,8
Paul Reed,PHI,38,54,96,2,8,6,14
Paul Millsap,PHI,33,45,115,8,35,17,24
Dylan Windler,CLE,50,37,98,21,70,15,18
Ish Wainright,PHX,45,41,104,19,59,7,12
Kris Dunn,POR,14,44,102,1,11,17,18
David Duke Jr.,BKN,22,39,108,9,37,17,21
Jaylen Hoard,OKC,7,44,90,9,25,6,14
Justin Anderson,IND,16,36,95,15,59,15,19
Gary Clark,NOP,38,33,88,28,70,7,10
Victor Oladipo,MIA,8,35,73,15,36,14,19
Boban Marjanovic,DAL,23,42,70,1,4,13,22
Semi Ojeleye,LAC,30,30,99,15,50,23,29
PJ Dozier,DEN,18,36,99,15,48,10,13
Trevor Ariza,LAL,24,33,99,20,74,10,18
Frank Kaminsky,PHX,9,36,66,5,15,18,20
Keljin Blevins,POR,31,34,111,21,72,6,11
Kevin Knox II,ATL,30,31,85,15,54,16,22
Reggie Perry,POR,10,40,79,3,16,9,15
Jericho Sims,NYK,41,39,54,0,0,12,29
Michael Porter Jr.,DEN,9,37,103,10,48,5,9
Miles McBride,NYK,40,32,108,17,68,8,12
Bruno Fernando,HOU,30,36,55,1,2,15,24
Georgios Kalaitzakis,OKC,13,31,67,10,26,14,30
Nerlens Noel,NYK,25,32,60,0,3,21,30
Brad Wanamaker,WAS,23,28,77,4,17,23,25
Jake Layman,MIN,34,30,73,8,35,13,18
Justin Champagnie,TOR,36,31,67,10,28,9,9
Lindell Wigginton,MIL,19,26,61,9,26,19,35
Skylar Mays,ATL,28,32,64,8,25,8,9
Udoka Azubuike,UTA,17,37,49,0,0,6,11
Braxton Key,DET,11,33,72,6,21,7,13
Justin Robinson,DET,25,28,93,18,61,4,8
Daishen Nix,HOU,24,27,67,7,26,16,30
KZ Okpala,MIA,21,30,69,9,26,8,11
Greg Monroe,MIN,14,32,57,0,0,12,23
Kyle Guy,MIA,19,26,65,14,40,8,12
Malcolm Hill,CHI,19,24,52,13,36,11,14
Charles Bassey,PHI,23,30,47,0,4,9,12
Denzel Valentine,UTA,24,25,66,19,47,0,0
Mychal Mulder,MIA,17,24,77,17,54,4,4
Chris Chiozza,GSW,34,24,81,17,53,2,3
JT Thor,CHA,33,24,55,7,27,12,20
Tyler Cook,CHI,20,23,38,0,0,21,32
Sam Hauser,BOS,26,23,50,19,44,0,0
Vlatko Cancar,DEN,15,23,41,7,12,9,14
Joe Wieskamp,SAS,29,20,56,14,43,7,13
Jahmi'us Ramsey,SAC,19,24,58,5,18,7,14
Alfonzo McKinnie,CHI,17,24,61,9,27,2,8
Xavier Moon,LAC,10,25,51,5,14,3,5
Mamadi Diakite,OKC,13,25,47,0,5,6,11
Jabari Parker,BOS,12,18,38,8,16,9,9
Cassius Stanley,DET,9,19,46,4,17,10,10
Jalen Johnson,ATL,22,22,41,3,13,5,7
Javonte Smart,MIA,17,19,60,8,27,5,6
Devin Cannady,ORL,5,15,44,15,37,5,7
Hassani Gravett,ORL,8,18,38,11,26,3,4
Jamorko Pickett,DET,13,18,50,13,39,1,2
Leandro Bolmaro,MIN,35,17,54,5,18,11,13
Jay Scrubb,LAC,18,18,46,6,21,7,10
Theo Pinson,DAL,19,14,39,10,30,10,10
Usman Garuba,HOU,24,19,44,5,20,5,7
Devontae Cacok,SAS,15,21,31,0,0,4,7
Louis King,SAC,10,15,47,8,27,7,10
Neemias Queta,SAC,15,17,38,0,0,11,17
Zavier Simpson,OKC,4,19,52,1,8,5,5
Haywood Highsmith,MIA,19,16,46,9,28,2,5
Trevelin Queen,HOU,10,15,33,9,24,4,4
Alize Johnson,NOP,23,17,39,0,4,7,12
Kevin Pangos,CLE,24,15,46,6,26,3,4
Tim Frazier,CLE,12,14,45,6,17,5,9
Jared Harper,NOP,5,14,26,5,12,4,4
Didi Louzada,POR,9,12,33,9,23,2,2
Abdel Nader,PHX,14,12,35,4,14,6,10
Willie Cauley-Stein,PHI,20,16,35,1,2,1,2
Bol Bol,ORL,14,15,27,1,4,2,5
Brandon Knight,DAL,5,10,25,4,17,8,8
Melvin Frazier Jr.,OKC,3,13,48,1,21,5,7
Udonis Haslem,MIA,13,14,31,1,4,3,3
Chaundee Brown Jr.,ATL,5,10,32,6,18,5,6
Paul Watson,OKC,9,12,35,6,26,1,2
Charlie Brown Jr.,PHI,22,10,39,1,12,9,10
D.J. Wilson,TOR,4,11,15,0,2,8,10
Luke Kornet,BOS,15,13,27,0,5,4,6
Quinndary Weatherspoon,GSW,11,12,21,1,5,5,5
Devon Dotson,CHI,11,11,23,2,9,5,9
James Ennis III,DEN,7,11,24,3,8,4,5
Ed Davis,CLE,31,11,16,0,0,6,14
Mason Jones,LAL,4,7,15,1,4,12,15
BJ Johnson,ORL,4,11,25,4,10,0,0
Chris Silva,MIA,10,8,15,0,0,10,12
Sam Merrill,MEM,6,8,24,7,23,2,4
Cameron Oliver,ATL,2,10,15,1,3,2,3
Carsen Edwards,DET,4,9,30,4,16,1,1
Kai Jones,CHA,21,9,14,1,2,3,8
Wes Iwundu,ATL,3,8,18,3,5,3,4
Brodric Thomas,BOS,12,8,18,2,9,3,5
Freddie Gillespie,ORL,9,9,22,0,1,3,7
Malik Fitts,BOS,15,8,19,5,10,0,0
Rayjon Tucker,MIL,5,6,9,4,5,5,7
Isaiah Todd,WAS,12,7,26,4,16,2,6
Vernon Carey Jr.,WAS,7,7,13,0,0,6,13
Derrick Walton Jr.,DET,3,6,26,3,13,4,4
Jeff Dowtin Jr.,ORL,9,8,26,1,9,2,2
Gabriel Deck,OKC,7,8,14,2,4,0,0
Nik Stauskas,BOS,8,5,14,4,10,4,6
Marko Simonovic,CHI,9,4,15,1,5,8,11
Tyler Johnson,SAS,6,6,20,5,13,0,0
Tyrone Wallace,NOP,6,7,20,2,8,1,5
Ryan Arcidiacono,NYK,10,6,12,4,9,0,0
Justin Jackson,PHX,7,5,15,3,9,2,2
RJ Nembhard Jr.,CLE,14,6,18,0,2,3,4
Aleem Ford,ORL,5,6,20,2,15,0,0
Cameron McGriff,POR,3,5,14,2,6,2,2
Cassius Winston,WAS,7,4,11,2,6,4,4
Langston Galloway,MIL,7,6,26,2,16,0,0
Petr Cornelie,DEN,13,5,15,1,8,3,4
Sekou Doumbouya,LAL,2,5,8,1,2,3,4
Gabriel Lundberg,PHX,4,5,19,3,8,0,0
Marcus Garrett,MIA,12,5,21,1,4,2,5
Myles Powell,PHI,11,5,17,1,6,2,2
Yves Pons,MEM,12,5,16,3,9,0,2
Isaac Bonga,TOR,15,3,13,1,4,5,8
Micah Potter,DET,3,5,11,0,2,2,2
Tacko Fall,CLE,11,5,12,0,0,2,7
Cheick Diallo,DET,3,3,8,0,0,5,6
Tremont Waters,WAS,3,4,14,2,9,0,0
Daniel Oturu,TOR,3,3,6,0,1,3,5
Gabe York,IND,2,2,7,1,6,3,5
Mac McClung,LAL,2,3,6,1,3,1,1
Malik Newman,CLE,1,3,5,0,1,2,2
Solomon Hill,ATL,13,3,20,2,13,0,0
Eugene Omoruyi,DAL,4,2,5,1,2,2,4
Robert Woodard II,SAS,12,2,16,1,4,2,2
Sharife Cooper,ATL,13,3,14,1,6,0,0
Craig Sword,WAS,3,3,4,0,1,0,0
Dakota Mathias,MEM,6,2,6,2,6,0,0
Norvel Pelle,UTA,3,3,5,0,0,0,0
Paris Bass,PHX,2,2,6,0,2,2,2
Trevon Scott,CLE,2,3,6,0,1,0,0
Jordan Schakel,WAS,4,1,11,1,6,2,2
Juwan Morgan,BOS,2,2,3,1,2,0,0
McKinley Wright IV,MIN,5,2,3,1,2,0,0
Miye Oni,UTA,16,2,9,1,8,0,1
Moses Wright,DAL,4,1,4,0,1,3,3
Wayne Selden,NYK,3,1,4,1,2,2,4
Xavier Sneed,UTA,9,2,10,1,8,0,0
Carlik Jones,DEN,5,1,9,0,1,2,2
Chandler Hutchison,PHX,6,1,2,0,0,2,2
Damyean Dotson,NYK,2,2,4,0,1,0,0
Darren Collison,LAL,3,2,7,0,3,0,0
Jemerrio Jones,LAL,2,2,3,0,0,0,0
Scotty Hopson,OKC,1,2,4,0,1,0,0
Shaquille Harrison,BKN,2,2,6,0,2,0,0
Deividas Sirvydis,DET,3,1,10,1,7,0,0
Emmanuel Mudiay,SAC,2,0,2,0,0,3,4
Matt Ryan,BOS,1,1,5,1,5,0,0
Rob Edwards,OKC,2,1,4,1,4,0,0
Aaron Henry,PHI,6,1,5,0,1,0,0
Ahmad Caver,IND,1,1,1,0,0,0,0
DaQuan Jeffries,MEM,3,1,2,0,1,0,0
Jaden Springer,PHI,2,1,1,0,0,0,0
Jarron Cumberland,POR,3,1,2,0,1,0,0
Jaylen Morris,SAS,3,0,6,0,2,2,4
Joe Johnson,BOS,1,1,1,0,0,0,0
Joel Ayayi,WAS,7,1,6,0,1,0,0
Shaq Buchanan,MEM,2,1,4,0,2,0,0
Tyrell Terry,MEM,2,1,1,0,0,0,0
George King,DAL,4,0,5,0,4,1,2
Scottie Lewis,CHA,2,0,0,0,0,1,2
Ade Murkey,SAC,1,0,0,0,0,0,0
Anthony Lamb,HOU,2,0,2,0,2,0,0
Arnoldas Kulboka,CHA,2,0,1,0,1,0,0
CJ Miles,BOS,1,0,0,0,0,0,0
Cat Barber,ATL,3,0,4,0,0,0,4
David Johnson,TOR,2,0,1,0,1,0,0
DeJon Jarreau,IND,1,0,0,0,0,0,0
Emanuel Terry,PHX,3,0,5,0,0,0,0
Feron Hunt,NYK,2,0,2,0,0,0,0
JaQuori McLaughlin,DAL,4,0,2,0,1,0,0
Jaime Echenique,WAS,1,0,0,0,0,0,0
Javin DeLaurier,MIL,1,0,0,0,0,0,0
Jay Huff,LAL,4,0,3,0,2,0,0
Jaysean Paige,DET,1,0,3,0,2,0,0
Jon Teske,MEM,3,0,1,0,0,0,2
Jordan Bell,CHI,1,0,0,0,0,0,0
Jordan Goodwin,WAS,2,0,3,0,1,0,0
MJ Walker,PHX,2,0,4,0,2,0,0
Matt Mooney,NYK,1,0,1,0,1,0,0
Nate Hinton,IND,2,0,1,0,0,0,0
Sam Dekker,TOR,1,0,0,0,0,0,0
Trayvon Palmer,DET,1,0,1,0,0,0,0
Tyler Hall,NYK,1,0,0,0,0,0,0
Zylan Cheatham,UTA,1,0,3,0,2,0,0